spaLangNum	LanguageName	spaPhoneNum	spaDescription	spaAllophoneDescription	Notes	AllophoneNotes
		63	yod			
				[j]	68	(free)
				[d-palatalized]	01 68	(free)
				[yod-nasalized]	69	
				[n-palatal]	69	(free)
		64	w			
				[w-nasalized]	72	
		81	high		03	
		82	low		04	
				[lower-mid]	73	
950	Ticuna	01	p			
				[p-prenasalized]	60	
		02	b			
				[b-prenasalized]	60	
		03	t			
				[t-prenasalized]	60	
		04	d			
				[d-prenasalized]	60	
		05	k			
				[k-prenasalized]	60	
		06	g			
				[g-prenasalized]	60	
		07	k-labialized			
				[k-prenasalized-labialized]	60	
		08	t/s-hacek		30	(tag(+),free)
				*/s/		
				[t/s-hacek-prenasalized]	60	
		09	d/z-hacek			
				[d/z-hacek-prenasalized]	60	
				[d-palatalized]		(free)
				[yod]	61	(free)
		10	f		31	(loan)
		11	s		31	(loan)
				*[t/s-hacek]		
		12	m			
		13	n			
		14	n-palatal			
		15	eng			
		16	r-flap			
				[l]	31 62	(loan,allo)
		17	glottal stop			
		51	i			
				[i-nasalized-weak]	63	
				[i-voiceless]	64	(free)
				[i-creaky voice]	65	
		52	i-nasalized			
				[i-creaky voice-nasalized]	65	
		55	e-mid			
				[epsilon]	66	
				[e-mid-nasalized-weak]	63	
				[e-mid-voiceless]	64	(free)
				[e-mid-creaky voice]	65	
				[e-mid-creaky voice-nasalized]	33 65	
		58	i-bar			
				[i-bar-nasalized-weak]	63	
				[i-bar-voiceless]	68	
				[i-bar-creaky voice]	65	
		59	i-bar-nasalized			
		61	a			
				[a-nasalized-weak]	63	
				[a-voiceless]	64	(free)
				[a-creaky voice]	65	
		62	a-nasalized			
		64	u			
				[u-nasalized-weak]	63	
				[u-voiceless]	64	(free)
				[u-creaky voice]	65	
		65	u-nasalized			
		67	o-mid			
				[o-mid-nasalized-weak]	63	
				[o-mid-voiceless]	64	(free)
				[o-mid-creaky voice]	65	
		68	o-mid-nasalized			
				[o-mid-creaky voice-nasalized]	65	
		71	w			
		81	high		34	
		82	higher-mid			
		83	mid			
		84	lower-mid		34	
		85	low			
				[lower-low]	72	
		86	high-falling		36	(limited)
		87	higher-mid-falling-mid		37	
		88	higher-mid-falling-low		38	(limited)
		89	mid-falling		37	
955	Carib	01	p			
				[p-preglottalized]	60	
				[p-palatalized]	61	
		02	b		30	
				[b-palatalized]	61	
		03	t			
				[t-preglottalized]	60	
				[t-palatalized]	61	
		04	d		30	
				[d-palatalized]	61	
		05	k		35	
				[k-preglottalized]	60	
				[c]	01 62	
		06	g		30	
				[j]	01 62	
		07	beta			
				[v]		(free)
				[beta-palatalized]	02 61	
				[v-palatalized]	02 61	(allo,free)
		08	s		03	
				[s-hacek]	04 64	
		09	m			
				[m-palatalized]	61	
				[m-half-voice]	65	
		10	n			
				[n-palatal]	05 61	
				[eng-prevelar]	66	
				[n-half-voice]	65	
		11	eng		31	
		12	r-flap		06	
				[r-flap-retroflex]	67	(free)
				[d/z-hacek]	07 68	
				[l-flap]	67	(free)
		13	glottal stop		32	
		14	h		33	
		51	i			
		52	i-long			
		53	epsilon			
				[e-mid]	69	
				[iota]	70	(free)
		54	e-mid-long			
		55	ash-dot		08	
		56	ash-dot-long		08	
		57	u		09	
				[u-dot]	71	
		58	u-long			
		59	i-trema			
				[i-bar]	71	
		60	i-trema-long			
		61	o-mid		10	
				[o-mid-dot]	71	
		62	o-mid-long			
		63	yod			
				[j-fricative]	11 61	
		64	w		34	
960	Ocaina	01	p			
				[p-long]	02 60	
		02	b		03	
		03	t			
				[t-long]	02 60	
		04	t-palatalized		04	
				[t-long-palatalized]	02 60	
		05	d-palatalized		03 04	
		06	k			
				[k-long]	02 60	
		07	g		03	
		09	t/s			
		10	d/z			
		11	t/s-hacek		05	
		12	d/z-hacek		05	
		13	phi			
		14	beta		06	
		15	s			
		16	s-hacek		05	
		17	z-hacek		05 06 07	
		18	x		06	
				[x-labialized]	61	
		20	m			
		21	m-long		08 30	
		22	n			
		23	n-long		08 30	
		24	n-palatal		05	
		25	n-palatal-long		05 08 30	
		27	glottal stop			
		28	h			
		29	r-flap			
		51	i		11	
				[iota]	62	
				[i-creaky voice]	63	(free)
		52	i-nasalized			
		53	epsilon		12 31	
				[epsilon-creaky voice]	63	(free)
		54	a		13	
				[a-creaky voice]	63	(free)
		55	a-nasalized			
		56	i-trema		11 14 15	
				[i-trema-creaky voice]	63	(free)
		57	i-trema-nasalized			
		58	o-mid		16	
				[o-mid-creaky voice]	63	(free)
		59	o-mid-nasalized			
		60	w		32	(transitional)
		81	high			
				[rising]	17 64	
		82	low		18 33	
				[falling]	17 65	
965	Siriono	01	p			
		02	b			
		03	t			
				[t-prenasalized]	60	(free)
		04	k			
				[k-labialized]	61	(free)
		05	k-palatalized			
				[g-prenasalized-palatalized]	62	
		06	t/s-hacek			
		07	s			
		08	s-hacek			
		10	m			
				[b-prenasalized]	63	
		11	n			
				[d-prenasalized]	63	
		12	n-palatoalveolar			
				[d/z-hacek-prenasalized]	63	
		13	eng			
				[g-prenasalized]	63	
		14	r-flap			
				[d]	64	(free)
		15	h			
		16	z-approximant-velarized-syllabic		02	
		17	z-approximant-nasalized-velarized-syllabic		02	
		51	i			
		52	i-nasalized			
		53	e		01	
		54	e-nasalized		01	
		57	a		01	
		58	a-nasalized		01	
		59	u		01	
		60	u-nasalized		01 30	
		61	o		01	
		62	o-nasalized		01	
		63	yod		31	
		64	w		31	
970	Guarani	01	p		01	
		02	t		01	
		03	k		01	
		04	k-labialized		01	
		05	t/s-hacek		02 30	(loan)
		06	f		30	(loan)
		07	v		03	
				[v-nasalized]	60	
				[beta]	61	(free)
		08	eth		04 30	(loan)
		09	s		05	
		10	s-laminal		06	
		11	x			
				[h]		(free)
		12	x-labialized		30	(loan)
		13	gamma		03	
				[gamma-nasalized]	60	
		14	gamma-labialized		03	
				[gamma-labialized-nasalized]	60	
				[w]	62	(free)
				*/u/		
		15	m			
				[b-prenasalized]	63	
		16	n		07	
				[d-prenasalized]	63	
		17	n-palatal			
				[j]	08 64	
				[yod]	65	(allo,free)
				*/i/		
				[z-laminal]	06 66	(free)
		18	eng			
				[g-prenasalized]	63	
		19	eng-labialized			
				[g-prenasalized-labialized]	63	
		20	l		30 34	(loan)
				[l-nasalized]	60	
		21	l-palatal		30	(loan)
		22	r-flap		10	
				[r-flap-nasalized]	60	
		23	r-trill		11 30	(loan)
		24	glottal stop			
		51	i			
				*[yod]		
				[i-half-voice]	12 67	
		52	i-nasalized		13	
				[i-nasalized-weak]	68	
		53	e		14	
				[e-mid]	69	
				[iota]	70	(free)
		54	e-nasalized		13	
				[e-nasalized-weak]	68	
		55	i-bar			
				[i-bar-half-voice]	12 67	
				[yod-dot]	71	(free)
		56	i-bar-nasalized		15	
				[i-bar-nasalized-weak]	68	
		57	a		16	
		58	a-nasalized		13	
				[a-nasalized-weak]	68	
		59	u		17	
				*[w]		
				[u-half-voice]	12 67	
		60	u-nasalized		15	
				[u-nasalized-weak]	68	
		61	o		14 17	
		62	o-nasalized		13	
				[o-nasalized-weak]	68	
975	Amahuaca	01	p			
				[b]	60	
				[p-prenasalized]	61	
		02	t		01	
				[d]	60	
				[t-prenasalized]	61	
		03	k		01	
				[g]	60 62	
				[k-prenasalized]	61	
				[gamma]	63	
		05	t/s-hacek		01	
		06	theta		01	
				[theta-prenasalized]	61	
		07	s		02	
		08	x		01	
				[x-palatalized]	64	
		10	m			
				[b-prenasalized]	65	
		11	n		01	
				[d-prenasalized]	65	
		12	r-flap		01	
		13	glottal stop			
		14	h			
		51	iota			
				[i]	66	(free)
		52	iota-nasalized			
		53	a			
		54	a-nasalized			
		55	i-trema			
				[e-trema]	67	(free)
		56	i-trema-nasalized			
		57	o		06	
				[u]	67	(free)
		58	o-nasalized			
		59	yod			
		60	w			
				[beta]	68	
980	Chacobo	01	p			
		02	t			
		03	k			
		04	t/s			
		05	t/s-hacek			
		06	beta			
		07	s			
		08	s-hacek-retroflex		01	
				[s-hacek-retroflex/r]	60	
		09	s-hacek			
		10	m			
		11	n			
		12	r-flap			
		13	glottal stop			
		14	h			
		15	gamma		30	(transitional)
		51	i			
				[iota]	61	
				[i-nasalized]	62	
		52	i-bar		03	
				[i-bar-nasalized]	62	
		53	a			
				[a-nasalized]	62	
		54	o-mid			
				[u]	63	(free)
				[o-mid-nasalized]	62 64	
		55	yod			
		56	w		04	
985	Apinaye	01	p			
				[b]	60	
		02	t			
				[d]	60 61	
		03	k		30	
				[g]	60	
		04	t/s-hacek			
				[c]	62	
				[j]	60 62	
				[d/z-hacek]	60	
		05	v		01 02	
				[v-nasalized]	63	
				[v-labialized]	64	
				[w]	65	
				[w-nasalized]	63 65	
		06	s		31	(limited)
		07	z-hacek		03	
				[z-hacek-nasalized]	63	
				[yod]	65 66	
				[yod-nasalized]	63 65 66	
		08	b-prenasalized		32	
				[m]	67	
				[b/m]	68	(free)
				[beta-approximant-nasalized]	69	
		09	d-prenasalized		32	
				[n]	67	
				[d/n]	68	(free)
		10	j-prenasalized		32	
				[n-palatal]	67	
				[j/n-palatal]	68	(free)
		11	g-prenasalized		32	
				[eng]	67	
		12	r-flap-retroflex			
				[r-flap-retroflex-nasalized]	70	
				[l-flap]	71	(free)
				[l]	72	
				[l-retroflex]	73	
				[r-flap-retroflex-voiceless]	74	(free)
				[l-flap-voiceless]	71 74	(free)
		13	glottal stop		33	
		14	h		34	(limited)
		51	i			
				[i-voiceless]	75	
		52	i-nasalized			
		53	e			
				[e-voiceless]	75	
		54	epsilon			
				[epsilon-voiceless]	75	
		55	epsilon-nasalized			
		56	schwa		35	(transitional)
		57	a			
				[a-voiceless]	75	
		58	a-nasalized			
		59	u			
				[u-voiceless]	75	
		60	u-nasalized			
		61	i-trema			
				[i-trema-voiceless]	75	
		62	i-trema-nasalized			
		63	o			
				[o-voiceless]	75	
		64	o-nasalized			
		65	e-trema			
				[e-trema-voiceless]	75	
		66	o-open			
				[o-open-voiceless]	75	
		67	caret			
				[caret-voiceless]	75	
		68	caret-nasalized			
		69	i-long		36	(surface)
		70	i-long-nasalized		36	(surface)
		71	e-long		36	(surface)
		72	epsilon-long		36	(surface)
		73	epsilon-long-nasalized		36	(surface)
		74	a-long		36	(surface)
		75	a-long-nasalized		36	(surface)
		76	u-long		36	(surface)
		77	u-long-nasalized		36	(surface)
		78	i-trema-long		36	(surface)
		79	i-trema-long-nasalized		36	(surface)
		80	o-long		36	(surface)
		81	o-long-nasalized		36	(surface)
		82	e-trema-long		36	(surface)
		83	o-open-long		36	(surface)
		84	caret-long		36	(surface)
		85	caret-long-nasalized		36	(surface)
005	Shilha	01	b			
				[b-unreleased]	60	(free)
				[b-half-voice]	61	
		02	b-tense-long			
		03	t		03 09	
				[t-unreleased]	63 64	(allo,free)
		04	t-tense-long		03	
		05	t-pharyngealized		05	
				[t-unreleased-pharyngealized]	60	
		06	d		03	
				[d-unreleased]	60 63	
		07	d-tense-long		03	
		08	d-pharyngealized		05	
		09	k		09	
				[k-palatalized]	10 68	
				[k-labialized]	69 70	(free)
		10	k-tense-long			
				[k-tense-long-labialized]	70	(free)
		11	k-pharyngealized			
				[k-labialized-pharyngealized]	70	(free)
		12	g		33	
				[g-labialized]	70	(free)
		13	g-tense-long			
				[g-tense-long-labialized]	70	(free)
		14	f		14	
		15	f-tense-long		14	
		16	s		03	
		17	s-tense-long		03	
		18	s-pharyngealized		05	
		19	z		03	
		20	z-tense-long		03	
		21	z-pharyngealized		05	
		22	s-hacek		14	
		23	s-hacek-tense-long		14	
		24	z-hacek		14	
				[d/z-hacek]	71	(allo,free)
		25	z-hacek-tense-long		14	
		26	x			
				[x-palatalized]	68	
				[x-labialized]	34 70	
		27	x-tense-long			
				[x-tense-long-labialized]	70	(free)
		28	gamma			
				[gamma-palatalized]	68	
				[gamma-labialized]	70	(free)
		29	gamma-tense-long			
				[gamma-tense-long-labialized]	70	(free)
		30	pharyngeal-voiceless			
		31	pharyngeal-voice		35	
		32	m			
				[m-syllabic]	21 72	
		33	m-tense-long		22	
		34	n			
				[n-syllabic]	21 72 74	
				[eng]	75	
		35	n-tense-long		22	
		36	l		03	
				[l-syllabic]	21 72	
		37	l-tense-long		03	
		38	l-pharyngealized		25	
				[l-pharyngealized-syllabic]	76	
		39	r-trill		26	
				[r-approximant]	27 77	
				[r-trill-syllabic]	28 72	
		40	r-trill-tense-long		22	
		41	r-trill-pharyngealized			
		42	h		37 42 43	
		43	pharyngeal-voiceless-tense-long			
		51	i			
				[iota]	44 78	
				[iota-bar]	44 79	
				[i/yod]	80	(free)
		53	a			
				[ash]	45 81	(allo,free)
				[epsilon]	45 82	
				[alpha]	46 83	
				[a-fronted]	84	
		54	u			
				[upsilon]	45 85	
				[o]	45 86	
				[u/w]	87	(allo,free)
		55	schwa		47 88	(transitional)
		56	yod		36	
		57	w		36	
010	Hausa	01	b			
				[b-labialized]	60	(free)
		02	b-implosive			
				[b-implosive-labialized]	60	(free)
		03	t		01	
		04	d			
		05	d-implosive			
		06	k		01	
				*[k-labialized]		
				*[k-palatalized]		
		07	k-labialized		02 60	(restricted,free)
				*/k/		
		08	k-palatalized		02	(restricted,free)
				*/k/	65	
		09	g			
				*[g-labialized]		
				*[g-palatalized]		
		10	g-labialized		02 60	(restricted,free)
				*/g/		
		11	g-palatalized		02 65	(restricted,free)
				*/g/		
		12	k-ejective			
				*[k-ejective-labialized]		
				*[k-ejective-palatalized]		
		13	k-ejective-labialized		02 60	(restricted,free)
				*/k-ejective/		
		14	k-ejective-palatalized		02 65	(restricted,free)
				*/k-ejective/		
		15	t/s-hacek			
		16	d/z-hacek			
		17	phi		03	
				[p]	30	(free)
		18	phi-palatalized		30	
		19	s		03	
		20	z		04	
		21	s-glottalized		05	
				[t/s-ejective]	31	(free)
		22	s-hacek		04	
		23	m			
		24	n		06	
				[n-syllabic]	62	(free)
				[eng]	61	(allo,neutral)
		26	l		07	
		27	r-trill		08	
				*[r-flap]		
		28	r-flap		09	(tag(-),free)
				*/r-trill/		
		29	glottal stop		32	
		30	h		10	
		50	iota			
		51	i-long			
		52	e-mid		33	
		53	e-mid-long			
		54	schwa		11	
				[epsilon]	63	(allo,free)
		55	a-long			
		56	upsilon			
		57	u-long			
		58	o-mid		33	
		59	o-mid-long			
		60	yod			
		61	yod-glottalized			
		62	w			
		80	high			
				[mid]	64	
		81	low			
		82	high-falling		34	
				[mid-falling]	64	
		83	higher-high		12	(limited)
015	Angas	01	p-aspirated			
				[p]	60	(allo,free)
				[p-unreleased]	61	(free)
		02	b			
		03	b-implosive			
		04	t-aspirated			
				[t]	60	(allo,free)
				[t-unreleased]	61	(free)
		05	d			
		06	d-implosive			
		07	c-aspirated			
		08	j			
		09	j-implosive			
		10	k-aspirated			
				[k]	60	(allo,free)
				[k-unreleased]	61	(free)
		11	g			
		12	t/s-hacek-aspirated			
		13	d/z-hacek			
		14	f			
		15	v			
		16	s			
		17	z			
		18	s-hacek			
		19	z-hacek			
		20	gamma			
		21	m			
				[m-voiceless]	01 66	
		22	n			
				[n-voiceless]	01 66	
		23	n-palatal			
		24	eng			
				[eng-voiceless]	66	
		25	l			
				[l-voiceless]	66	
		26	r-trill			
				[r-flap]	67	
				[r-trill-voiceless]	01 66	
		27	glottal stop		31	(transitional)
		28	h			
		51	i-long			
				*[iota]		
		52	iota-backed			
				[i-bar]	04 33 68	(allo,transitional)
				[iota/iota-glide-backed]	69	
				[iota]	70 71 72	
				*/i-long/		
		54	e			
		55	epsilon			
				[epsilon/epsilon-dot-glide]	73	
		56	iota-bar-long		04	
		57	a		04	
		58	a-long		04	
		59	u			
				[upsilon-fronted]	74	
		60	u-long		34	(limited)
		61	o			
				[o-open]	75	
		62	yod			
		63	w			
		64	epsilon-dot/iota-glide		35	(limited)
		61	high			
				[high-falling]	76	
		82	mid		77	(tag(+),allo)
				*/low/		
				[mid-rising]	78	
		83	low			
				*[mid]		
				[low-rising]	79	
020	Margi	01	p			
		02	b			
		03	b-implosive			
		04	t			
		05	d			
		06	d-implosive			
		07	c			
		08	j			
		09	k			
		10	g			
		11	t/s			
		12	d/z			
		13	t/s-hacek			
		14	d/z-hacek			
		15	f			
		16	v			
		17	s			
		18	z			
		19	s-hacek			
		20	z-hacek			
		21	c-fricative			
		22	j-fricative			
		23	x			
		24	gamma			
		25	m			
				[m-syllabic]	60	(free)
		26	n			
				[n-syllabic]	60	(free)
		27	n-palatal		30	
				[n-palatal-syllabic]	60	(free)
		28	eng			
				[eng-syllabic]	60	(free)
		29	l			
		30	l-fricative-voice			
		31	l-fricative			
		32	r-trill			
		33	v-flap		01 31	(limited)
		34	glottal stop		02 32	
		51	i			
				[iota]	61 62	(allo,free)
				*/schwa/		
		52	epsilon		33	(loan,surface)
		53	a		03	
				*[o-open]		
				[ash]	63	
		54	schwa		04	
				*[iota]		
				[i-trema]	05 64	
		55	u			
				[u-trema]	65	
		56	o-open		34 66	(loan,surface,allo)
				*/a/		
				[o-open-trema]	67	
		57	yod			
		58	w			
		81	high			
		82	low			
025	Somali	01	b			
				[p-unreleased]	60	(allo,free)
				[p-ejective]	60	(free,allo)
				[beta]	62	(free)
				[p]	63	(free)
		02	b-long		02	
		03	t-aspirated		04 30	
		04	d			
				[t-unreleased]	60	(allo,free)
				[t-ejective]	60	(free,allo)
				[eth]	66	(free)
				[t]	67	(free)
		05	d-long		02	
		06	d-retroflex-implosive		05 06	
				[t-retroflex-unreleased]	60	(allo,free)
				[t-retroflex-ejective]	60	(allo,free)
				[r-flap-retroflex]	07 70	
		07	d-retroflex-implosive-long		02	
		08	k-aspirated		04 30	
		09	g			
				[k-unreleased]	60	(allo,free)
				[k-ejective]	60	(allo,free)
				[gamma]	73	(free)
				[k]	74	(free)
		10	g-long			
		11	q-voice		08 09 10	
				[q-unreleased]	11 75	
				[gamma-uvular]	76	(free)
				[q]	77	(free)
		12	q-voice-long			
				[q-long]	78	(free)
		13	t/s-hacek		12 13 31	
		14	f			
				[f-long]	79	(free)
		15	s		14	
				[s-long]	79	(free)
		16	s-hacek		14	
				[s-hacek-long]	79	(free)
		17	x		32	(loan)
		18	pharyngeal-voiceless		15	
		19	pharyngeal-voice		16 17 18	
		20	m		33	
		21	n		19	
				*[n-long]		
				[eng]	80	
				[n-uvular]	81	
		22	n-long		20 82	(tag(+),allo)
				*/n/		
				[n-half-voice-long]	83	
		23	l		21	
				*[l-long]		
				[l-half-voice]	83	
		24	l-long		20 82	(tag(+),allo)
				*/l/		
				[l-half-voice-long]	83	
		25	r-flap		22 34	
				[r-trill]	23 85	
				[r-trill-voiceless]	86	
		26	r-trill-long		20 24 25	
				[r-trill-half-voice-long]	26	
		27	glottal stop			
		28	h		35	
				[h-voice]	87	
		51	i			
				[i-nasalized]	88	
		52	i-long			
				[i-long-nasalized]	88	
		53	iota			
				[iota-nasalized]	88	
		54	iota-long			
				[iota-long-nasalized]	88	
		55	e			
				[e-nasalized]	88	
		56	e-long			
				[e-long-nasalized]	88	
		57	epsilon			
				[epsilon-nasalized]	88	
		58	epsilon-long			
				[epsilon-long-nasalized]	88	
		59	ash			
				[ash-nasalized]	88	
		60	ash-long			
				[ash-long-nasalized]	88	
		61	upsilon-dot			
				[upsilon-dot-nasalized]	88	
		62	upsilon-dot-long			
				[upsilon-dot-long-nasalized]	88	
		63	o-mid-dot			
				[o-mid-dot-nasalized]	88	
		64	o-mid-dot-long			
				[o-mid-dot-long-nasalized]	88	
		65	schwa			
				[a]	89	
				[schwa-nasalized]	88	
		66	a-long			
				[a-long-nasalized]	88	
		67	upsilon		28	
				[upsilon-nasalized]	88	
		68	upsilon-long		29	
				[upsilon-long-nasalized]	88	
		69	o-open			
				[o-open-nasalized]	88	
		70	o-open-long			
				[o-open-long-nasalized]	88	
		71	yod			
		72	w			
		81	high			
				*[mid]		
		82	low		42	
				[mid]	90 91	
				*/high/		
030	Awiya	01	p			
		03	b			
				[beta]	60	
		05	t			
		07	d-retroflex			
		09	k			
		11	k-labialized			
		12	g			
		14	g-labialized			
		15	q			
		16	q-labialized			
		17	q-voice		02	
		18	q-voice-labialized		03	
		19	t/s		32	
		21	d/z		33	(limited)
		22	t/s-hacek			
		24	d/z-hacek			
		26	f			
		28	s			
				[s-syllabic]	61	(allo,free)
		30	z		32	
		32	s-hacek			
				[s-hacek-syllabic]	61	(allo,free)
		34	m			
				[m-syllabic]	61	(allo,free)
		36	n			
				[n-syllabic]	61	(allo,free)
		38	eng			
				[n-palatal]	62	
		39	eng-labialized			
		40	l			
				[l-syllabic]	61	(allo,free)
		42	r-flap			
				[r-syllabic]	61	(allo,free)
		51	i			
				[iota]	63	
				[i/a-glide]	64	
		52	e-mid			
		53	i-bar		34	
				[iota-bar]	63	
		54	a			
		55	u			
				[upsilon]	63	
		56	o-mid			
				[w/a]	65	(free)
		57	yod			
		58	w			
		59	ash		35	(surface)
		81	high			
		82	mid			
				[higher-mid]	66	
		83	low		36	
		84	falling		06 37	
035	Iraqw	01	p			
		02	b			
		03	b-implosive		01 30 31	(limited)
				[p-implosive]	60	
		04	t			
				[t-aspirated]	61	(free)
				[t-dental]	62	(free)
		05	d			
		06	d-implosive		01 30 31	(limited)
		07	k			
		08	k-labialized		32	
		09	g			
		10	g-labialized		32	
		11	q			
				[q-aspirated]	61	(free)
		12	q-labialized		32	
		13	t/s-ejective		02 03	
		14	t/l-fricative-ejective		03	
		15	f			
		16	s		33	
		17	s-long			
		18	s-hacek		33 34	
		19	x			
		20	x-labialized		32	
		21	pharyngeal-voiceless			
		22	pharyngeal-voice		04 35	
		23	m			
		24	n			
		25	eng		36	
		26	eng-labialized		06 32	
		27	l		05	
		28	l-fricative			
		29	r		05	
		30	glottal stop		07 37	
		31	h			
		51	i-long			
		52	iota			
		53	e-long		38	
		54	epsilon		39	
		55	schwa		40	
		56	a		08 09	
		57	u-long		41	
		58	upsilon			
		59	o-long		42	
		60	o-open			
		61	alpha-unrounded-long		10 43	
		62	yod			
		63	w			
		64	o-dot		11 44	(limited)
		81	high			
		82	low			
		83	falling			
040	Tigre	01	b			
				[p]	60	
		02	b-long			
		03	t-aspirated		01	
				[t-nasal-release]	61	
		04	t-long			
		05	t-ejective			
		06	t-ejective-long			
		07	d			
				[t]	60	
				[d-nasal-release]	61	
		08	d-long			
		09	k-aspirated		01	
		10	k-long			
		11	k-ejective			
				[q-ejective]	62	
		12	k-ejective-long			
		13	g			
				[k]	60	
		14	g-long			
		15	t/s-ejective			
		16	t/s-ejective-long			
		17	t/s-hacek-aspirated		01 30	
		18	t/s-hacek-long			
		19	t/s-hacek-ejective			
		20	t/s-hacek-ejective-long			
		21	d/z-hacek			
				[t/s-hacek]	60	
		22	d/z-hacek-long			
		23	f			
		24	f-long			
		25	s		03	
		26	s-long			
		27	z			
				[s-lax]	60	
		28	z-long			
		29	s-hacek		03	
		30	s-hacek-long			
		31	z-hacek		30	
				[s-hacek-lax]	60	
		32	z-hacek-long			
		33	pharyngeal-voiceless			
		34	pharyngeal-voice			
		35	m			
		36	m-long			
		37	n			
				[n-palatoalveolar]	63	
				[eng]	63	
		38	n-long			
		39	l			
		40	l-long			
		41	r-trill		04	
		42	r-trill-long		04	
		43	glottal stop			
		44	h			
		51	i-long			
		52	e-mid-long			
		53	a-front-long			
		54	schwa		64	(tag(+),allo)
				*/epsilon-dot/		
				[i]	65	
				[schwa-fronted]	66 67	
				[schwa-backed]	68	
				[o-mid-dot-backed]	69	
				[e-dot]		
		55	epsilon-dot			
				*[schwa]		
				[a-front]	70	
				[epsilon-dot-fronted]	66 67	
				[epsilon-dot-backed]	68	
				[o--open-dot-backed]	69	
		56	u-long			
		57	o-mid-long			
		58	yod			
		59	yod-long		32	(limited)
		60	w			
045	Amharic	01	p		01	(loan)
		03	p-ejective		01	(loan)
		05	b			
				[beta]	60	(free)
		06	b-long			
		07	t			
		08	t-long			
		09	t-ejective			
		10	t-ejective-long			
		11	d			
		12	d-long			
		13	k			
		14	k-long			
		15	k-ejective			
		16	k-ejective-long			
		17	k-labialized			
		18	k-ejective-labialized			
		19	g			
		20	g-long			
		21	g-labialized			
		22	t/s-hacek			
		23	t/s-hacek-long			
		24	t/s-hacek-ejective			
		25	t/s-hacek-ejective-long			
		26	d/z-hacek			
		27	d/z-hacek-long			
		28	f			
		29	f-long			
		30	s			
		31	s-long			
		32	s-ejective			
				[t/s-ejective]	61	(free)
		33	s-ejective-long			
		34	z			
		35	s-hacek			
		36	s-hacek-long			
		37	z-hacek			
		38	z-hacek-long			
		39	m			
		40	m-long			
		41	n			
		42	n-long			
		43	n-palatal			
		44	n-palatal-long			
		45	l		03	
		46	l-long		03	
		47	r-flap		04	
		48	r-trill-long			
		49	glottal stop		32	(transitional)
		50	h			
				[h-voice]	62	
		51	h-labialized			
		52	z-long			
		51	i			
		52	e			
				[yod/e]	63	(free)
				[epsilon]	64	(free)
		53	i-bar		34	
				*[schwa]		
		54	schwa		05 35 65	(tag(-),allo)
				*/i-bar/		
		55	a			
		56	u			
		57	o			
				[o-open]	66	(free)
				[w/o]	67	(free)
		58	yod			
		59	w			
050	Egyptian Arabic	01	p		30	(loan,free)
				*/b/		
		02	b			
				*[p]		
		03	b-long			
		04	t			
		05	t-long			
		06	t-pharyngealized			
		07	t-long-pharyngealized			
		08	d			
		09	d-long			
		10	d-pharyngealized			
		11	d-long-pharyngealized			
		12	k			
		13	k-long			
		14	g			
		15	g-long			
		16	q		31	
		17	q-long			
		18	d/z-hacek		32	(loan)
		19	f			
				*[v]		
		20	f-long			
		21	v		33	(loan,free)
				*/f/		
		22	theta		34	(limited)
		23	eth		34	(limited)
		24	eth-pharyngealized		34	(limited)
		25	s			
		26	s-long			
		27	s-pharyngealized			
		28	s-long-pharyngealized			
		29	z			
		30	z-long			
		31	z-pharyngealized			
		32	z-long-pharyngealized			
		33	s-hacek			
		34	s-hacek-long			
		35	x-uvular			
		36	x-uvular-long			
		37	gamma-uvular			
		38	gamma-uvular-long			
		39	pharyngeal-voiceless			
		40	pharyngeal-voiceless-long			
		41	pharyngeal-voice			
		42	pharyngeal-voice-long			
		43	m			
		44	m-long			
		45	n			
		46	n-long			
		47	l		04 05	
		48	l-long		06	
		49	r-flap		07	
		50	r-trill-long			
		51	glottal stop			
		52	glottal stop-long		01 02	
		53	h			
		54	h-long			
		51	iota			
				*[e]		
				[iota-bar]	60	
		52	i-long			
				[i-bar-long]	60	
				[i]	61	
		53	e-long			
				[e]	61 62	
				*/iota/		
		55	schwa		37	(transitional)
		56	a-front			
				[alpha]	08 38 63	
		57	ash-long			
				[alpha-long]	08 38 63	
		58	upsilon			
				*[o]		
		59	u-long			
				[u]	61	
		60	o-long			
				[o]	61 64	(allo,free)
				*/upsilon/		
		63	yod			
		64	yod-long			
		65	w		09	
		66	w-long			
055	Moroccan Arabic	01	p		30 60	(loan,free)
				*/b/		
		02	b			
				*[p]		
				*[b-pharyngealized]		
		03	b-long			
				*[b-long-pharyngealized]		
		04	b-pharyngealized		31 61	(limted,allo)
				*/b/		
		05	b-long-pharyngealized		31 61	(limted,allo)
				*/b-long/		
		06	b-long-labialized			(limited)
				[b-long-labialized-pharyngealized]		(free)
		07	t-dental		01	
				[t/s-dental]	02	(free)
		08	t-dental-long			
		09	t-pharyngealized		03	
		10	t-long-pharyngealized			
		11	d-dental		01	
		12	d-dental-long			
		13	d-pharyngealized		03	
		14	d-long-pharyngealized		03	
		15	k			
				[k-pharyngealized]	61	
		16	k-long			
				[k-long-pharyngealized]	61	
		17	k-labialized			(limited)
		18	g			
				[g-pharyngealized]	61	
		19	g-long			
				[g-long-pharyngealized]	61	
		20	g-labialized			(limited)
		21	q			
				[q-pharyngealized]	61	
		22	q-long			
				[q-long-pharyngealized]	61	
		23	q-labialized			(limited)
		24	f			
