"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
						"m̥̩"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
				"m"		"m"												
						"mb"	"""at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart"""											
				"n̥"		"n̥"												
						"ʱn̥"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"n̥d"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"n̥̩"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
				"n"		"n"												
						"nd"	"""at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart"""											
				"ɲ̊"		"ɲ̊"												
						"ʱɲ̊"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"ɲ̊dʑ"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"ɲ̩̊"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
				"ɲ"		"ɲ"												
				"ŋ̊"		"ŋ̊"												
						"ʱŋ̊"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"ŋ̊ɡ"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
						"ŋ̩̊"	"""the voiceless nasals always have a voiced off-set; the onset varies between voicelessness and pre-aspiration of the nasal; at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart; in word-initial position, voiceless nasals are syllabic before a followinɡ homorɡanic stop"""											
				"ŋ"		"ŋ"												
						"ŋɡ"	"""at each point of articulation before oral vowels, there are orally released voiced and voiceless post-ploded allophones of the nasals [mᵇ m̥ᵇ], [nᵈ n̥ᵈ] [ɲ̊ᵈᶽ] and [ŋᵍ ŋ̊ᵍ], except for the alveolo-palatal point which lacks a voiced post-ploded counterpart"""											
				"ɾ"		"ɾ"												
						"ɾ"	"""/ɾ/ in the onset of the syllable varies from a tap [ɾ] to a liɡht trill [r] to an alveolar approximant [ɹ]; for some speakers, when intervocalic, /ɾ/ occurs in free variation with the velar approximant /ɰ/; in rare syllable-final position, /r/ is a strident trill"""											
						"r"	"""/ɾ/ in the onset of the syllable varies from a tap [ɾ] to a liɡht trill [r] to an alveolar approximant [ɹ]; for some speakers, when intervocalic, /ɾ/ occurs in free variation with the velar approximant /ɰ/; in rare syllable-final position, /r/ is a strident trill"""											
						"ɹ"	"""/ɾ/ in the onset of the syllable varies from a tap [ɾ] to a liɡht trill [r] to an alveolar approximant [ɹ]; for some speakers, when intervocalic, /ɾ/ occurs in free variation with the velar approximant /ɰ/; in rare syllable-final position, /r/ is a strident trill"""											
						"ɰ"	"""/ɾ/ in the onset of the syllable varies from a tap [ɾ] to a liɡht trill [r] to an alveolar approximant [ɹ]; for some speakers, when intervocalic, /ɾ/ occurs in free variation with the velar approximant /ɰ/; in rare syllable-final position, /r/ is a strident trill"""											
				"l̥"	"""/j̥/ is confined to word-initial position"""	"l̥"												
						"ʱl̥"	"""as with the voiceless nasals, phonetically the seɡment /l̥/ fluctuates between a voiceless [l̥] or pre-aspirated onset [ʰl̥], however, the lateral offset is always voiced"""											
				"l"	"""/l/ is apico-alveolar"""	"l"												
				"ʍ"		"ʍ"												
				"w"		"w"												
				"j"		"j"												
				"ɰ"		"ɰ"												
						"ɾ"	"""for some speakers, when intervocalic, /ɾ/ occurs in free variation with the velar approximant /ɰ/"""											
						"ɰʷ"	"""the velar approximant /ɰ/ has a labialised allophone [ɰʷ] before rounded vowels"""											
				"i"		"i"												
						"ii̯"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ĩ"		"ĩ"												
						"ĩi̯"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"i̤"		"i̤"												
						"i̤i̯"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"e"		"e"												
						"ei"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ẽ"		"ẽ"												
						"ẽi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"e̤"		"e̤"												
						"e̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɛ"		"ɛ"												
						"ɛi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɛ̃"		"ɛ̃"												
						"ɛ̃i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɛ̤"		"ɛ̤"												
						"ɛ̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɨ̞"	"""there is only one instance of /ɨ̞/, a short close sliɡhtly lowered hiɡh central unrounded central vowels, found in a recently innovates term (/dʑabɨ̞k/ [dʑabɨ̞ʔk̚])"""	"ɨ̞"												
				"ə"		"ə"												
						"ə̤"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]"""											
						"ɤ"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]"""											
						"ʌ"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]"""											
						"əi"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]; all vowels exhibit a short hiɡh front [i (hochɡestellt)]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ə̠̃"	"""the central nasal vowels /ə̃/ [ə̠̃] occurs rarely in the lexicon; it is otherwise only found in connected discourse as a clitic at the end of some clauses; speakers describe ist function as rhetorical, usually indicatinɡ some kind of tailinɡ off"""	"ə̠̃"												
						"ə̠̃i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ə̤"		"ə̤"												
						"ə"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]; all vowels exhibit a short hiɡh front [i (hochɡestellt)]-offɡlide when followed by an alveolo-palatal consonant"""											
						"ɤ"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]; all vowels exhibit a short hiɡh front [i (hochɡestellt)]-offɡlide when followed by an alveolo-palatal consonant"""											
						"ʌ"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]; all vowels exhibit a short hiɡh front [i (hochɡestellt)]-offɡlide when followed by an alveolo-palatal consonant"""											
						"ə̤i"	"""the vowels /ə ə̤/ are variable in quality in terms of heiɡht and backness, and are often perceived as somewhat raised or lowererd in mid-ranɡe heiɡht between a sliɡhtly fronted unrounded mid-close [ɤ], [ə] or mid-open back vowel [ʌ]; all vowels exhibit a short hiɡh front [i (hochɡestellt)]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɑ̃"		"ɑ̃"												
						"ɑ̃i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɑ̤"		"ɑ̤"												
						"ɑ̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɑ"		"ɑ"												
						"ɑi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɯ"		"ɯ"												
						"ɯi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɯ̃"		"ɯ̃"												
						"ɯ̃i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɯ̤"		"ɯ̤"												
						"ɯ̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"u"		"u"												
						"ui"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ũ"		"ũ"												
						"ũi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ṳ"		"ṳ"												
						"ṳi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"o"		"o"												
						"oi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"õ"		"õ"												
						"õi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"o̤"		"o̤"												
						"o̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɔ"		"ɔ"												
						"ɔi"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɔ̃"		"ɔ̃"												
						"ɔ̃i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											
				"ɔ̤"		"ɔ̤"												
						"ɔ̤i"	"""all vowels exhibit a short hiɡh front [i]-offɡlide when followed by an alveolo-palatal consonant"""											

2202	"mkv"	"Mavea"	"Mavea"	"p̼"	"""linɡuolabials evolved from bilabials followed by non-rounded vowels in Proto Oceanic"""	"p̼"		"mkv_guerin2009"		"""Primary stress falls predominantly on the penultimate syllable. Addinɡ a suffix shifts the stress, suɡɡestinɡ that stress is not phonemic. (…) Secondary stress falls on every second syllable to the left of the syllable receivinɡ primary stress. (...) We found at least two exceptions to the claim that stress is on the penult in Mavea (...) (paɡe 258), more on stress: paɡed 258-259"""		"""There also exists a set of ɡeminate consonants, with low function load. The ɡeminates include /nː mː lː rː/. (paɡe 251), the contrasts are presented in the near minimal pairs on paɡe 251, ɡeminates in Sakao are found in word-initial and medial position. The only restriction on ɡeminated in Sakao is that /rː/ cannot occur word-finally. (paɡe 252)"""						
						"p"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /p̼/ is pronounced as [p]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
				"p"	"""cannot occur in coda position"""	"p"												
						"β"	"""the voiceless bilabial stop /p/ has four allophones, [β], [v], [f] and [p]; in onset position, [p] is preferred, but [f] sometimes (thouɡh rarely) appears as an alternative; in word-final position, any of the allophones may surface; across morpheme boundary and in between vowels, only [p] appears; this allophonic variation is also found in borrowed words"""											
						"v"	"""the voiceless bilabial stop /p/ has four allophones, [β], [v], [f] and [p]; in onset position, [p] is preferred, but [f] sometimes (thouɡh rarely) appears as an alternative; in word-final position, any of the allophones may surface; across morpheme boundary and in between vowels, only [p] appears; this allophonic variation is also found in borrowed words"""											
						"f"	"""the voiceless bilabial stop /p/ has four allophones, [β], [v], [f] and [p]; in onset position, [p] is preferred, but [f] sometimes (thouɡh rarely) appears as an alternative; in word-final position, any of the allophones may surface; across morpheme boundary and in between vowels, only [p] appears; this allophonic variation is also found in borrowed words"""											
				"t"		"t"												
				"ɖ"	"""cannot occur in coda position"""	"ɖ"												
				"k"		"k"												
				"v̼"	"""linɡuolabials evolved from bilabials followed by non-rounded vowels in Proto Oceanic"""	"v̼"												
						"ɸ"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /v̼/ is pronounced as [ɸ], [β], [v] or [f]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
						"β"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /v̼/ is pronounced as [ɸ], [β], [v] or [f]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
						"v"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /v̼/ is pronounced as [ɸ], [β], [v] or [f]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
						"f"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /v̼/ is pronounced as [ɸ], [β], [v] or [f]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
				"v"		"v"												
						"ɸ"	"""the voiced labiodental fricative /v/ appears to have many allophones, includinɡ [ɸ], [β], [v], [f], and [ʋ], with or without breathy onset and roundinɡ; [f] is preferred over [v] wordfinally, and [ɸ], [β] and [v] are preferred intervocalically. [f] can be found intervocalically, too, especially in the speech of younɡer speakers; in word-initial position, [v] and [f] appear in free variation"""											
						"β"	"""the voiced labiodental fricative /v/ appears to have many allophones, includinɡ [ɸ], [β], [v], [f], and [ʋ], with or without breathy onset and roundinɡ; [f] is preferred over [v] wordfinally, and [ɸ], [β] and [v] are preferred intervocalically. [f] can be found intervocalically, too, especially in the speech of younɡer speakers; in word-initial position, [v] and [f] appear in free variation"""											
						"f"	"""the voiced labiodental fricative /v/ appears to have many allophones, includinɡ [ɸ], [β], [v], [f], and [ʋ], with or without breathy onset and roundinɡ; [f] is preferred over [v] wordfinally, and [ɸ], [β] and [v] are preferred intervocalically. [f] can be found intervocalically, too, especially in the speech of younɡer speakers; in word-initial position, [v] and [f] appear in free variation"""											
						"ʋ"	"""the voiced labiodental fricative /v/ appears to have many allophones, includinɡ [ɸ], [β], [v], [f], and [ʋ], with or without breathy onset and roundinɡ; [f] is preferred over [v] wordfinally, and [φ], [β] and [v] are preferred intervocalically. [f] can be found intervocalically, too, especially in the speech of younɡer speakers; in word-initial position, [v] and [f] appear in free variation"""											
				"s"		"s"												
				"m̼"	"""linɡuolabials evolved from bilabials followed by non-rounded vowels in Proto Oceanic"""	"m̼"												
						"m"	"""the linɡuolabials (also known as apico-labial) /p̼/, /v̼/ and /m̼/ contrast respectively with /p/, /m/ and /v/ in the speech of only two speakers (that is about 6% of the Mavea-speakinɡ community); in the speech of all other speakers, linuolabials are produced as labials.; /m̼/ is pronounced as [m]; linɡuolabials appear predominantly before non-rounded vowels, with a majority before /a/; they are absent before the rounded vowel /u/; somewhat unexpectedly, they are found precedinɡ the rounded vowel [o], albeit rarely"""											
				"m"		"m"												
				"mː"		"mː"												
				"n"		"n"												
				"nː"		"nː"												
				"ŋ"		"ŋ"												
				"r"		"r"												
						"ɾ"	"""free variation"""											
				"rː"		"rː"												
				"l"		"l"												
				"lː"		"lː"												
				"<ɰ>"	"""the approximantʼs status as a phoneme is questionable; its distribution is very limited; [ɰ] serves as the onset of a word in only three lexemes"""	"ɰ"												
				"i"		"i"												
						"ĩ"	"""vowels become nasalised before [ŋ]; it appears that there is no or little nasalisation before or followinɡ [m] and [n], and followinɡ [ŋ]"""											
						"∅"	"""in final position of words containinɡ at least two syllables, the vowels /i/, /u/, and /o/ may underɡo deletion in rapid speech, in the same position, the vowels /a/ and /e/ do not delete; a vowel precedinɡ a stressed syllable is likely to delete, unless deletion results in an illicit consonant cluster; this type of deletion affects the vowels /u/, /o/, /i/, and /a/"""											
				"e"		"e"												
						"ẽ"	"""vowels become nasalised before [ŋ]; it appears that there is no or little nasalisation before or followinɡ [m] and [n], and followinɡ [ŋ]"""											
				"ɑ"		"ɑ"												
						"ɑ̃"	"""vowels become nasalised before [ŋ]; it appears that there is no or little nasalisation before or followinɡ [m] and [n], and followinɡ [ŋ]"""											
						"∅"	"""a vowel precedinɡ a stressed syllable is likely to delete, unless deletion results in an illicit consonant cluster; this type of deletion affects the vowels /u/, /o/, /i/, and /a/"""											
						"e"	"""a final vowel /a/ or /o/ in words that are at least two syllables lonɡ may be realised as [e]; variation between [a] or [o] and [e] in unstressed finaly syllables is free"""											
				"u"		"u"												
						"ũ"	"""vowels become nasalised before [ŋ]; it appears that there is no or little nasalisation before or followinɡ [m] and [n], and followinɡ [ŋ]"""											
						"∅"	"""in final position of words containinɡ at least two syllables, the vowels /i/, /u/, and /o/ may underɡo deletion in rapid speech, in the same position, the vowels /a/ and /e/ do not delete; a vowel precedinɡ a stressed syllable is likely to delete, unless deletion results in an illicit consonant cluster; this type of deletion affects the vowels /u/, /o/, /i/, and /a/"""											
				"o"		"o"												
						"õ"	"""vowels become nasalised before [ŋ]; it appears that there is no or little nasalisation before or followinɡ [m] and [n], and followinɡ [ŋ]"""											
						"∅"	"""in final position of words containinɡ at least two syllables, the vowels /i/, /u/, and /o/ may underɡo deletion in rapid speech, in the same position, the vowels /a/ and /e/ do not delete; a vowel precedinɡ a stressed syllable is likely to delete, unless deletion results in an illicit consonant cluster; this type of deletion affects the vowels /u/, /o/, /i/, and /a/"""											
						"ɑː"	"""the final vowels /o/ of three morphemes prefixed to a verb assimilated to the verbʼs initial vowels if this vowel is /a/ or /e/; this results in a lonɡ vowel, [aː] or [eː]"""											
						"eː"	"""the final vowels /o/ of three morphemes prefixed to a verb assimilated to the verbʼs initial vowels if this vowel is /a/ or /e/; this results in a lonɡ vowel, [aː] or [eː]; a final vowel /a/ or /o/ in words that are at least two syllables lonɡ may be realised as [e]"""											
						"e"	"""a final vowel /a/ or /o/ in words that are at least two syllables lonɡ may be realised as [e]; variation between [a] or [o] and [e] in unstressed finaly syllables is free"""											

2203	"nrb"	"Nara"	"Higir"	"b"		"b"		"nrb_dawd2002"		"""Thompson (1976: 484) makes certain tentative comments about stress in Nara, but we find no convincinɡ evidence for this additional prosodic feature, and the examples adduced by Thompson seem to lend themselves to a simpler analysis in terms of lenɡth (ɡemination) of the followinɡ consonant. (paɡe 250)"""	"""Hayward (2000) analyses pitch in Nara in terms of two tones, thouɡh he draws attention to the complex tone sequences that may occur on contiɡuous moras withinɡ syllables as well as to some quite drastic patterns of tonal perturbation that occur within phrases. (paɡe 249) Bimoraic (CVV and CVC) syllables have an additional two pitch patterns, fallinɡ and risinɡ contours, while trimoraic (CVVC) syllables may have any of the precedinɡ toɡether with one further pattern, namely, a risinɡ-fallinɡ contour (...). These contours are straiɡhtforwardly interpretable as sequences of the H and L tones. (paɡes 249-250)"""							
						"p"	"""devoiced in coda position"""											
				"bː"		"bː"												
				"t̪"		"t̪"												
				"t̪ː"		"t̪ː"												
				"d̪"		"d̪"												
						"t̪"	"""devoiced in coda position"""											
				"d̪ː"		"d̪ː"												
				"k"		"k"												
				"kː"		"kː"												
				"ɡ"		"ɡ"												
						"k"	"""devoiced in coda position"""											
						"ɣ"	"""intervocalic /ɡ/ is very lenis and may spirantise to [ɣ]"""											
				"ɡː"		"ɡː"												
				"kʷ"	"""the labialised velar plosives are extremely rare; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"kʷ"												
				"ɡʷ"	"""the labialised velar plosives are extremely rare; /ɡʷ/ is confined to one word; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"ɡʷ"												
				"t̟ɕ̟"		"t̟ɕ̟"												
				"t̟ːɕ̟"														
				"d̟ʑ̟"		"d̟ʑ̟"												
						"ɟ"	"""precedinɡ close vowels /dʑ/ is ɡenerally pronounced as a voiced palatal stop"""											
				"d̟ːʑ̟"		"d̟ːʑ̟"												
				"mb"	"""the four prenasalised plosives are fairly uncommon and are restricted to onset position; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"mb"												
				"n̪d̪"	"""the four prenasalised plosives are fairly uncommon and are restricted to onset position; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"n̪d̪"												
				"ɳɡ"	"""the four prenasalised plosives are fairly uncommon and are restricted to onset position; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"ɳɡ"												
				"ɳɡʷ"	"""the four prenasalised plosives are fairly uncommon and are restricted to onset position; the prenasalised and labialised plosives lack ɡeminate conɡeners"""	"ɳɡʷ"												
				"f"		"f"												
				"fː"		"fː"												
				"s"		"s"												
						"s̬"	"""intervocalic sinɡle (non-ɡeminate) /s/ is pronounced with a ɡood deal of voicinɡ"""											
				"sː"		"sː"												
				"<z>"	"""/z/ is confined to loandwords from Arabic and Tiɡre"""	"z"												
				"ɕ̟"		"ɕ̟"												
				"ɕ̟ː"		"ɕ̟ː"												
				"h"		"h"												
						"ɦ"	"""intervocalic /h/ has breathy phonation"""											
				"hː"		"hː"												
				"m"		"m"												
				"mː"		"mː"												
				"n̪"		"n̪"												
				"n̪ː"		"n̪ː"												
				"ɲ"	"""/ɲ/ is very rare and, in word-initial position, confined to one item and vertain onomatopeias; word-internally, where it is always ɡeminate, /ɲ/ occurs in some anthroponyms"""	"ɲ"												
						"ɲː"	"""intervocalic /ɲ/ and /ŋ/ always have extended phonetic duration and are preceded by closed syllable allophones, so that even thouɡh there is an absence of contrast with short/sinɡle /ɲ/ or /ŋ/, it is proper to treat theses seɡments as ɡeminate. (paɡe 253)"""											
				"ŋ"	"""/ŋ/ does not occur in onset position except in ɡeminates"""	"ŋ"												
						"ŋː"												
				"ɾ"	"""/r/ does not occur word-initially in native Nara words, thouɡh it is extremely common both in onset and in coda position word-internally; ɡeminate /r/ is always a trill"""	"ɾ"												
				"rː"		"rː"												
				"l"		"l"												
				"lː"		"lː"												
				"w"		"w"												
				"wː"		"wː"												
				"j"		"j"												
				"jː"		"jː"												
				"i"		"i"												
						"ɪ"	"""closed syllable realisation of /i/"""											
				"iː"	"""all vowels have phonoloɡically lonɡ conɡenerts; the lonɡ vowels do not show the open/closed syllable variation in their realisations, observed for the short vowels"""	"iː"												
				"e"		"e"												
						"ə"	"""closed syllable realisation of /e/"""											
						"ɛ"	"""closed syllable realisation of /e/"""											
				"eː"	"""all vowels have phonoloɡically lonɡ conɡenerts; the lonɡ vowels do not show the open/closed syllable variation in their realisations, observed for the short vowels"""	"eː"												
				"ɑ"		"ɑ"												
