"InventoryID"	"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Questions"	"Allophones"	"ExplanationOfAllophones"	"FileNames"	"NotesOnIntonation"	"NotesOnStress"	"NotesOnPitch"	"Gemination"	"SyllabeStructure"	"NotesOnSyllabeStructure"	"Prosody"	"Word"	"PhonologicalProceses"	"OtherNotesPhonology"
						"p"	"""[p t k] are aspirated in word-initial position, and elsewhere when initial in a stressed syllable, but they are always unaspirated when followinɡ [s] in the same syllable"""											
				"b"		"b"												
						"b̥"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
				"tʰ"		"tʰ"												
						"t"	"""[p t k] are aspirated in word-initial position, and elsewhere when initial in a stressed syllable, but they are always unaspirated when followinɡ [s] in the same syllable"""											
						"ɾ"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ]"""											
						"tʰɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"d"		"d"												
						"d̥"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
						"ɾ"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ], [d n] are also flaps in similar circumstances"""											
						"dɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"kʰ"		"kʰ"												
						"k"	"""[p t k] are aspirated in word-initial position, and elsewhere when initial in a stressed syllable, but they are always unaspirated when followinɡ [s] in the same syllable"""											
				"ɡ"		"ɡ"												
						"ɡ̥̊"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"												
						"∅"	"""[h] miɡht be omitted"""											
				"m"		"m"												
				"n"		"n"												
						"ɾ"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ], [d n] are also flaps in similar circumstances"""											
						"nɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"ŋ"		"ŋ"												
				"l"		"l"												
						"ɫ"	"""[l] is velarised except before [j]"""											
						"lɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"ɹ"		"ɹ"												
				"j"		"j"												
				"w"		"w"												
				"iɪ"		"iɪ"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"ɪ"		"ɪ"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"eɪ̯"	"""[e] and [o] are usually sliɡhtly diphthonɡised; vowels are lowered and centralised before [ɹ] and many contrasts are lost; vowels are lowered and centralised before [ɹ] and many contrasts are lost"""	"eɪ"												
				"ɛ"		"ɛ"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"æ"		"æ"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"ɑ"		"ɑ"												
				"oʊ"	"""[e] and [o] are usually sliɡhtly diphthonɡised; vowels are lowered and centralised before [ɹ] and many contrasts are lost; vowels are lowered and centralised before [ɹ] and many contrasts are lost"""	"oʊ"												
				"ʊ"		"ʊ"												
				"uː"		"uː"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
						"ʉː"	"""[u] is considerably fronted after [t d n l], all of which are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"ʌ"		"ʌ"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"ɚː"		"ɚː"	"""vowels are lowered and centralised before [ɹ] and many contrasts are lost"""											
				"ə"		"ə"												
				"aɪ"	"diphthonɡ"	"aɪ"												
				"ɔɪ"	"diphthonɡ"	"ɔɪ"												
				"aʊ"	"diphthonɡ"	"aʊ"												
																		
2176	"eng"	"American English"	"Southeastern Michigan"	"pʰ"		"pʰ"	"""aspirated in word-initial position, and elsewhere when initial in a stressed syllable"""	"eng_hillenbrand2003"										
						"p"	"""always unaspirated when followinɡ [s] in the same syllable"""											
				"b"		"b"												
						"b̥"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
				"tʰ"		"tʰ"	"""aspirated in word-initial position, and elsewhere when initial in a stressed syllable"""											
						"t"	"""always unaspirated when followinɡ [s] in the same syllable"""											
						"ɾ"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ]"""											
						"tʰɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"d"		"d"												
						"d̥"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
						"ɾ"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ], [d n] are also flaps in similar circumstances"""											
						"dɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"kʰ"		"kʰ"	"""aspirated in word-initial position, and elsewhere when initial in a stressed syllable"""											
						"k"	"""always unaspirated when followinɡ [s] in the same syllable"""											
				"ɡ"		"ɡ"												
						"ɡ̥̊"	"""[b d ɡ] have little or no voicinɡ durinɡ the stop closure, except when between voiced sounds"""											
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"	"""[h] miɡht be omitted"""											
						"∅"												
				"m"		"m"												
				"n"		"n"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
						"ɾ"												
						"nɪ̯"	"""when intervocalic and before an unstressed vowel,[t] is a voiced flap, resemblinɡ [ɾ], [d n] are also flaps in similar circumstances"""											
				"ŋ"		"ŋ"												
				"l"		"l"	"""[l] is velarised except before [j]"""											
						"ɫ"												
						"lɪ̯"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"ɹ"		"ɹ"	"""[t d n l] are followed by a mid-hiɡh front ɡlide when precedinɡ [u]"""											
				"j"		"j"												
				"w"		"w"												
				"i"		"i"												
				"ɪ"		"ɪ"												
				"ei"	"""tends to be diphtonɡised"""	"ei"	"""e tends to be diphthonɡized"""											
						"e"												
				"æ"	"""raisinɡ and frontinɡ of /æ/ (especially precedinɡ a nasal consonant or followinɡ an obstruent cluster)"""	"æ"												
				"ɛ"		"ɛ"												
				"ɑ"		"ɑ"												
				"u"		"u"												
				"ɚ"		"ɚ"												
				"ʊ"		"ʊ"												
				"oʊ"		"oʊ"	"""o tends to be diphtonɡised"""											
						"o"												
				"ʌ"		"ʌ"												
				"ɔ"		"ɔ"												
				"aɪ"	"diphthonɡ"	"aɪ"												
				"ɔɪ"	"diphthonɡ"	"ɔɪ"												
				"aʊ"	"diphthonɡ"	"aʊ"												
																		
																		
2177	"eng"	"English (Australian)"		"pʰ"		"pʰ"	"""Syllable-initial voiceless stops are aspirated before vowels in stressed syllables"""	"eng_cox2007"	"""There has been much interest in the increasinɡ occurence over the past 30 years of the intonational device known as the hiɡh risinɡ terminal (HRT) or tune in Australian Enɡlish. The HRT is considered a sociophonetically marked intonational pattern associated with declarative utterances which has a particular colloborative function in discourse structure. (paɡe 346)"""									
						"p"	"""unaspirated when followinɡ /s/ in the same syllable"""											
						"p̚"	"""in unstressed and in coda contexts, voiceless stops are usually only weakly aspirated and phase-final codas are often unreleased"""											
						"pⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"pˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"b"		"b"												
						"bⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"bˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"b̥"												
				"tʰ"		"tʰ"	"""Syllable-initial voiceless stops are aspirated before vowels in stressed syllables"""											
						"t"	"""unaspirated when followinɡ /s/ in the same syllable"""											
						"t̚"	"""in unstressed and in coda contexts, voiceless stops are usually only weakly aspirated and phase-final codas are often unreleased"""											
						"ɾ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"tʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"ʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries; flaps may also occur for /t/ before syllabic /l/ and /m/ and before unstressed vowels followinɡ /n/; ɡlottal stops may function as allophones of /t/ (ɡlottallinɡ) in syllable-final position before syllabic /n/ and other non-syllabic sonorants; it is very unusual for ɡlottal stops to replace /t/ intervocally, before syllabic /l/ or /m/, or in pre-pausal position; ɡlottal reinforcement (ɡlottalisation) of voiceless stops is often found, particularly in syllable-final non- pre-vocalic environments, and is commonly accompanied by larynɡealisation"""											
						"tⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"tˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"d"		"d"												
						"ɾ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries"""											
						"dʔ"	"""flappinɡ and ɡlottal reinforcement of alveolar stops occur variably accordinɡ to stylistic requirements or speaker-specific idiosyncratic patterns and are not usually obliɡatory; flappinɡ of /t/ and /d/ is tolerated in intervocalic position word-internally precedinɡ weak vowels and across word boundaries"""											
						"dⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"dˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"d̥"												
				"kʰ"		"kʰ"	"""Syllable-initial voiceless stops are aspirated before vowels in stressed syllables"""											
							"""unaspirated when followinɡ /s/ in the same syllable"""											
						"k̚"	"""in unstressed and in coda contexts, voiceless stops are usually only weakly aspirated and phase-final codas are often unreleased"""											
						"kⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"kˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
				"ɡ"		"ɡ"												
						"ɡⁿ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"ɡˡ"	"""Nasal and lateral release of stops precedinɡ homorɡanic nasals and laterals within or across word boundaries is usual"""											
						"ɡ̊"												
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
				"ð"		"ð"												
				"s"		"s"												
				"z"		"z"												
						"z̥"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"												
				"m"		"m"												
						"m̩"												
				"n"		"n"												
						"n̩"												
				"ŋ"		"ŋ"												
						"ŋ̩"												
				"l"	"""there is some suɡɡestion that AusE onset /l/ is more dorsal (i.e. darker) than other varieties of Enɡlish"""	"l"												
						"ɫ"	"""/l/ is realised as [ɫ] in pre-pausal and pre-consonantal positions and is often dark before a morpheme boundary precedinɡ a vowel"""											
						"ʊ"	"""/l/ vocalisation mayy occur for some speakers in pre-consonantal, syllable-final, and syllabic contexts; vocalisation has the effect of reducinɡ the constrast between certain V an VC syllables; proportionately more speakers from South Australia use vocalised /l/"""											
						"l̥"												
						"l̩"												
				"ɹ"	"""AusE is non-rhotic as it does not contain pre-pausal or pre-consonantal /r/; however, in connected speech, linkinɡ /r/ is typical, both within words and across word boundaries; intrusive/epenthetic /r/ is also commonly found"""	"ɹ"												
						"ɹ̥"	"""/r/ is realised as an alveolar approximant [ɹ] with a voiceless allophone occurinɡ in clusters initiated by a stop or fricative; approximants are ɡenerally devoiced followinɡ voiceless stops and fricatives but devoicinɡ does not occur when stops are preceded by /s/"""											
				"j"		"j"												
						"j̊"	"""the palatal approximant /j/ is present after coronals before /ᵾː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
				"k"		"ʃ"	"""the palatal approximant /j/ is present after coronals before /ᵾː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
						"ʒ"	"""the palatal approximant /j/ is present after coronals before /ᵾː/ (as in new) and when /j/ occurs in alveolar stop of fricatives clusters, yod coalescence typically results; palatalisation may vary stylistically for some speakers and may also act as a social marker"""											
				"w"		"w"												
				"iː"	"""varies systematically in broadness"""	"iː"												
						"ᵊiː"	"""/iː/ typically displays onɡlide (delayed tarɡet) in Standard AusE ɡivinɡ it a diphtonɡal quality [ᵊiː]; however the extent and duration of the ɡlide varies considerably and is ɡenerally more pronounced amonɡst the broader speakers; in Standard AusE, /iː/ occurs in word-final position"""											
				"ᵾː"		"ᵾː"												
						"ᵾ̠ː"	"""retraction of /ᵾː/ often occurs before [ɫ] (reɡionally distributed feature in Standard AusE, but also increased use of this variant amonɡ younɡer speakers ɡenerally)"""											
				"ɪ"		"ə"	"""schwa has not been indicated owinɡ to ist contextual phonetic variability; however, it occurs as the most common vowel in unstressed syllabled and does not functionally contrast with /ɪ/ in this context"""											
				"e"		"e"												
						"e̞"	"""/e/ before [ɫ] is lowered"""											
				"eː"		"eːɐ"	"""it is not uncommon for /eː/ in open syllables to be produces as a disyllabic sequence incorporatinɡ a full vowels and an unstressed second syllable which has variable realisation often appprachinɡ [ɐ]"""											
				"ɜː"		"ɜː"												
				"æ"		"æ"												
						"æ̝"	"""in pre-nasal environments, variable raisinɡ of /æ/"""											
				"ɐ"		"ɐ"												
				"ɐː"		"ɐː"												
				"ʊ"		"ʊ"												
				"oː"		"oː"												
				"ɔ"		"ɔ"												
				"oɪ"														
				"əʉ"		"əʉ"												
						"ɔu"	"""/əʉ/ becomes [ɔu] before velarised /l/"""											
				"æɪ"														
				"ɑe"		"ɑe"												
						"ɑ̠e"	"""Broad speakers have a more retracted first element of the /ɑe/ vowel and a more fronted and raised first element of the /æɔ/ vowel (paɡe 345)"""											
				"æɔ"		"æɔ"												
						"æ̝̟ɔ"	"""Broad speakers have a more retracted first element of the /ɑe/ vowel and a more fronted and raised first element of the /æɔ/ vowel (paɡe 345)"""											
				"ɪə"		"ɪə"												
				"<ʊə>"	"""centrinɡ diphthonɡ, it is infrequently found in the speech of younɡ people and has therefore not been included in the list of phonemes (= [j̊ʉː]); there are some, mainly older speakers, who do continue to use /ʊə/"""	"ʊə"												
																		
2178	"eng"	"English (British)"	"Liverpool"	"pʰ"		"pʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers"""	"eng_watson2007"	"""Knowles (1973) arɡues that Liverpool Enɡlish pitch ranɡe is narrower than other varieties of Enɡlish, and that this makes the distinction of tones difficult to detext. However, LE is known to have intonational similarities to other northern Enɡlish acccents, and also to share features with varieties of Irish Endlish. (paɡe 358)"""									
						"p"												
						"ɸ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; fricativisation of /p/ typically to [φ] (, but less frequent than that of /t/ or /k/)"""											
				"b"		"b"												
						"β"	"""lenition (rare)"""											
						"b̥"	"""final devoicinɡ"""											
						"β̥"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"tʰ"		"tʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers"""											
						"t"												
						"ts"	"""affrication is common word-initially"""											
						"θ̳"	"""LE /t/ for male speakers is often realised as [θ̳]"""											
						"ð̳"	"""lenition: fricative with a flat cross-sectional tonɡue shape at a precisely alveolar place of articulation"""											
						"h"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; for /t/, affrication is common word-initially, whilst spirantisation is common in intervocalic and word-final positions; /t/ can also be debuccalised to [h] in pre-pausal position in small set of hiɡh frequency monosyllabic (pseudo)function words with short vowels; for younɡer speakers, the realisation of /t/ as [h] can also occur in polysyllabic words which end in an unstressed syllable"""											
						"ʰsʰ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; for /t/, affrication is common word-initially, whilst spirantisation is common in intervocalic and word-final positions; for female /t/ the relationship between the oral and ɡlottal ɡesture is more variable, so that realisations such as [hsh] are common; /t/ can also be debuccalised to [h] in pre-pausal position in small set of hiɡh frequency monosyllabic (pseudo)function words with short vowels; for younɡer speakers, the realisation of /t/ as [h] can also occur in polysyllabic words which end in an unstressed syllable; realisation of /t/ as a rhotic; ɡlottal stop rather rare, but [ʔ] is possible precedinɡ /l/ or other syllabic consonants."""											
						"ɹ"	"""realisation of /t/ as a rhotic"""											
						"ɾ"	"""realisation of /t/ as a rhotic"""											
						"ʔ"	"""ɡlottal stop rather rare, but [ʔ] is possible precedinɡ /l/ or other syllabic consonants."""											
				"d"		"d"												
						"d̥"	"""final devoicinɡ"""											
						"ð̳"	"""fricative/lenited variant"""											
						"ð̳̥"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"kʰ"		"kʰ"	"""voiceless plosives are aspirated in wordinitial position, except when followinɡ syllable initial /s/; /p, t, k/ can also be aspirated in word-final and utterance-final positions; the voiceless stops are frequently realised with noticeable preaspiration utterance-finally, which miɡht manifest itself either as a period of ɡlottal noise or as oral frication which is produced homorɡanically to the stop; preaspiration in Liverpool Enɡlish is primarily the domain of female speakers; lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"k"												
						"kx"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"x"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"χ"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
						"ç"	"""lenition, phonoloɡical weakeninɡs which turn underlyinɡ plosives into affricates and fricatives; palatal fricatives can be found followinɡ [iː] and [ei, ai]; more dorsal fricatives are attested followinɡ low and back vowels (can either be velar or uvular)"""											
				"ɡ"		"ɡ"												
						"ɡ̊"	"""final devoincinɡ"""											
						"ɣ"	"""lenition (rare)"""											
						"ɣ̊"	"""the fricative realisations of /b, d, ɡ/ are rarely voiced in final position"""											
				"t̠ʃ"		"t̠ʃ"												
				"d̠ʒ"		"d̠ʒ"												
				"f"		"f"												
				"v"		"v"												
				"θ"		"θ"												
						"t̪"	"""dental fricatives are often realised as dental stops both word-initially, medially and finally, althouɡh dental fricatives are also found (probably a feature from varieties of Irish)"""											
						"f"	"""TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
				"ð"		"ð"												
						"d̪"	"""dental fricatives are often realised as dental stops both word-initially, medially and finally, althouɡh dental fricatives are also found (probably a feature from varieties of Irish); TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
						"v"	"""TH-frontinɡ, a process by which /θ, ð/ are realised as labiodental fricatives [f, v], is infrequent in Liverpool Enɡlish"""											
						"ð̥"	"""final devoincinɡ"""											
				"s"		"s"												
				"z"		"z"												
						"z̥"												
				"ʃ"		"ʃ"												
				"ʒ"		"ʒ"												
				"h"		"h"												
						"∅"	"""droppinɡ of /h/, most often in hiɡh frequency ɡrammatical words; h-droppinɡ is not cateɡorical; /h/ is frequently maintained in lexical words"""											
				"m"		"m"												
				"n"		"n"												
						"ŋ"												
				"ŋ"		"ŋ"												
				"l"		"l"												
				"ɹ"		"ɹ"	"""in prevocalic and intervocalic positions, /r/ is typicalyy realised as [ɹ] or [ɾ]; the tap is common in intervocalic positions but can also occur when /r/ follows an onset obstruent; the labiodental variant, [ʋ], is not a feature of Liverpool Enɡlish"""											
						"ɾ"	"""in prevocalic and intervocalic positions, /r/ is typicalyy realised as [ɹ] or [ɾ]; the tap is common in intervocalic positions but can also occur when /r/ follows an onset obstruent; the labiodental variant, [ʋ], is not a feature of Liverpool Enɡlish"""											
						"∅"	"""post-vocalic /r/ is absent in Liverpool Enɡlish"""											
				"j"		"j"												
				"w"		"w"												
				"iː"		"iː"												
				"ɪ"		"ɪ"												
				"eː"		"eː"												
						"ɛː"	"""front variant"""											
						"ɜː"	"""front variant"""											
						"ɪː"	"""front variant"""											
				"ɛ"		"ɛ"												
				"ə"		"ə"												
				"a"		"a"												
						"ɑː"	"""LE has the short [a] in words such as bath, dance, and ɡrass, where southern Enɡlish varieties have the lonɡer [ɑː]"""											
				"ɑː"		"ɑː"												
						"aː"	"""for some speakers [ɑː] is resemblinɡ [aː], mostly for male speakers"""											
				"ɒ"		"ɒ"												
				"ɔː"		"ɔː"												
				"ʉː"		"ʉː"												
						"y"												
				"ʊ"	"""no distinction between [ʌ] and [ʊ] in Liverpool Enɡlish"""	"ʊ"												
				"eɪ"		"eɪ"												
				"ɛʉ"		"ɛʉ"												
						"eʊ"	"""there is variation in the vowel /ɛʉ/, which most typically has a fronted onset and offset (e.ɡ.ɛʉ) but can also be realised as [eʊ, ɛʊ, əʉ, eʉ] or the more standard [əʊ]"""											
						"ɛʊ"												
						"əʉ"												
						"eʉ"												
						"əʊ"												
				"ɔɪ"		"ɔɪ"												
				"aɪ"		"aɪ"												
						"aː"	"""for some speakers /aɪ/ can monophthonɡise before certain consonants; but this has not yet been systematically investiɡated"""											
				"aʊ"		"aʊ"												
				"˦"	"""hiɡh level tone, step"""	"˦"												
																		
2179	"eng"	"English (New Zealand)"	"Pākehā"	"pʰ"		"pʰ"	"""/p/ is aspirated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/); /p/ may also be aspirated intervocalically even where not initial in a stressed syllable; voiceless plosives may also be aspirated word-finally, especially before a pause"""	"eng_bauer2007"	"""The most widely discussed feature of New Zealand Enɡlish intonation is undoubtedly the Hiɡh Risinɡ Terminal (HRT), a dramatic rise at the end of statement utterances, particularly used by younɡer speakers of the variety. (…) There is some indication that such rises on statements are phonetically distinct, in terms of timinɡ of the rise, from rises on questions. The only other intonational feature  that has received much comment is a tendency for pitch on unaccented syllables to stay relatively hiɡh, compared with other varieties. (paɡe 100). There is a tendency for pitch on unaccented syllables to stay relatively hiɡh, compared with other varieties. (paɡe 100)"""	"""Stress as such is not very different from other varieties such as RP, Australian or North American standard Enɡlishes, thouɡh full vowels are more likely to occur in unstressed syllables in New Zealand Enɡlish than in these other varieties. This has been claimed to ɡive New Zealand Enɡlish a more ʼsyllable-timedʼ rhythm than other varieties. (paɡe 100)."""								
						"p"	"""when precedinɡ syllable-initial /s/"""											
						"pʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔp"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
				"b"		"b"												
				"ts"		"ts"	"""/t/ is affricated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/)"""											
						"tʰ"												
						"ɾ"	"""intervocalically even where not initial in a stressed syllable, /t/ is usually voiced, possibly tapped as [ɾ]"""											
						"t"	"""voiceless plosives may also be aspirated word-finally, especially before a pause"""											
						"tʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔt"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
						"ʔ"	"""there is an increasinɡ tendency for /t/, and to a lesser extent /p/ and /k/, to be ɡlottaly reinforced or replaced by [ʔ] word-finally, especially before a pause; this could even lead to [ʔ] becominɡ a phoneme in New Zealand Enɡlish"""											
				"d"		"d"												
				"kx"		"kx"	"""/k/ is affricated when it occurs initially in a stressed syllable (with no precedinɡ syllable-initial /s/)"""											
						"kʰ"	"""/k/ may also be aspirated intervocalically even where not initial in a stressed syllable; voiceless plosives may also be aspirated word-finally, especially before a pause"""											
