"LanguageCode"	"LanguageName"	"SpecificDialect"	"Phoneme"	"Notes"	"Allophones"	"AllophoneNotes"	"FileNames"
			"s"				
			"t̠ʃ"				
			"j"				
			"k"		"[ɣ]"	"""during some compound word formations"""	
					"[x]"	"""word-finally"""	
					"[q]"	"""adjacent to back non-high vowels"""	
			"kʷ"			"""may only occur word-initially"""	
			"ɡʷ"				
			"x"				
			"ɣ"			"""never appear(s) in word-initial position…"""	
			"q"		"[ʁ]"	"""during some compound word formations"""	
					"[χ]"	"""word-finally"""	
			"χ"				
			"ʁ"			"""never appear(s) in word-initial position…""; ""only occur(s) intervocalically"""	
			"ʔ"			"""appears word-initially, intervocalically, and word-finally"""	
			"i"		"[i̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"ɨ"		"[ɨ̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"ɯ"		"[ɯ̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"u"		"[u̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"ø"		"[ø̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"ɛ"		"[ɛ̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"o"		"[o̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"æ"		"[æ̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"ɑ"		"[ɑ̥]"	"Status of devoiced vowels is unclear although argument seems to be for phonemic status."	
			"iː"				
			"ɨː"				
			"ɯː"				
			"uː"				
			"øː"				
			"ɛː"				
			"oː"				
			"æː"				
			"ɑː"				
							
"duo"	"Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta"		"p"				"duo_robinson2008.pdf"
			"b"				
			"m"				
			"w"				
			"t"				
			"d"				
			"ɾ"		"[r]"	"""At the beginning of a stressed syllable and in final position"""	
			"l"				
			"s"				
			"j"				
			"k"				
			"ɡ"				
			"ʔ"			"""It is inserted automatically at the beginning and end of words that are vowel-initial and vowel final"""	
			"ŋ"				
			"h"				
			"i"		"[j]"	"""Optionally before the vowel /a/"""	
			"u"				
			"ɛ"		"[e]"	"""Before a glide"""	
					"[i]"	"""Whenever the mid close vowels o and e occur in closed syllables, if the syllable becomes open due to suffixation, these vowels will be replaced by their high close counterparts, u and i"""	
			"o"		"[u]"	"""Whenever the mid close vowels o and e occur in closed syllables, if the syllable becomes open due to suffixation, these vowels will be replaced by their high close counterparts, u and i"""	
			"a"			"central low vowel; occurs in alternation with [ə]"	
							
							
"ton"	"Tongan; Tonga"		"p"				"ton_feldman1978.pdf"
			"f"				
			"v"				
			"m"				
			"t̪"				
			"s"				
			"n̪"				
			"ɺ"				
			"k"		"[q]"	'"""/k/ often has a uvular, and sometimes a glottal stop, allophone between two /a/''s"""'	
					"[ʔ]"	'"""/k/ often has a uvular, and sometimes a glottal stop, allophone between two /a/''s"""'	
			"ŋ"				
			"ʔ"				
			"h"				
			"i"		"[i̥]"	"""only the high vowels have productive voiceless allophones"""	
			"u"		"[u̥]"	"""only the high vowels have productive voiceless allophones"""	
			"e"				
			"o"				
			"a"		"[ḁ]"	"""the low vowel... is voiceless under conditions... but only following /h/"""	
							
"lmw"	"Lake Miwok; Miwok (Lake)"		"p"				"lmw_callaghan1963.pdf"
			"pʰ"	"Only syllable initial; in process of merging with plain stops"			
			"pʼ"				
			"b"				
			"t̪"				
			"t̪ʰ"	"Only syllable initial; in process of merging with plain stops"			
			"t̪ʼ"				
			"d"				
			"ʈ"				
			"ʈʰ"	"Only syllable initial; in process of merging with plain stops"			
			"ʈʼ"				
			"k"				
			"kʰ"	"Only syllable initial; in process of merging with plain stops"			
			"kʼ"				
			"ʔ"				
			"<f>"	"Loan"			
			"m"				
			"w"				
			"<s>"	"Loan"			
			"n"		"[ŋ]"	"Before nasals"	
			"l"				
			"<r>"	"Loan"			
			"j"				
			"x"		"[h]"	"Before vowels"	
			"ʂ"				
			"ɬ"				
			"ts"		"[t̠ʃ]"	"Free variation"	
			"tsʼ"		"[t̠ʃʼ]"		
			"<t̠ʃ>"	"Loan"			
			"i"		"[ɪ]"	"Free variation"	
			"iː"		"[iˑ]"	"""In non-final closed syllables"""	
			"u"		"[ʊ]"	"Free variation"	
			"uː"		"[uˑ]"	"""In non-final closed syllables"""	
			"e"		"[ɛ]"	"Free variation"	
			"eː"		"[eˑ]"	"""In non-final closed syllables"""	
			"o"		"[ɔ]"	"Free variation"	
			"oː"		"[oˑ]"	"""In non-final closed syllables"""	
			"a"		"[ɑ]"	"Free variation"	
					"[ɐ]"	"""In open syllables"""	
			"aː"		"[aˑ]"	"""In non-final closed syllables"""	
							
							
"lzz"	"Laz"		"p"				"lzz_anderson1963.pdf"
			"b"				
			"pʼ"				
			"f"				
			"m"		"[m̥]"	"""Initially before voiceless or glottalized-ejective consonants"""	
			"t̪"		"[t̪ʰ]"	"""Finally--before juncture"""	
			"d̪"				
			"t̪ʼ"				
			"s"	"""a voiceless gingival groove fricative"""			
			"z"				
			"n̪"		"[n̥]"	"""Initially before voiceless or glottalized-ejective consonants"""	
					"[ŋ]"	"""Before velar consonants"""	
			"t̪s̪"				
			"d̪z̪"				
			"tsʼ"				
			"t̠ʃ"				
			"d̠ʒ"				
			"t̠ʃʼ"				
			"ʃ"				
			"ʒ"				
			"l̪"				
			"ç"	"""medio-palatal"""	"[x]"	"""Before /u, o, ɑ/"""	
			"ʝ"	"""medio-palatal"""	"[ɣ]"	"""Before /u, o, ɑ/"""	
			"k"		"[kʰ]"	"""In final position--before juncture"""	
			"ɡ"				
			"kʼ"		"[q]"	"""Before /u/, /o/, and /ɑ/"""	
			"h"				
			"i"		"[j]"	"Before another vowel"	
			"u"		"[v]"	"Before another vowel; ""Before /ɹ/ plus a stressed vowel"""	
			"e"				
			"o"		"[ø]"	"""After consonant plus /i/ when the next vowel, not separated from it by juncture, is /i/ or /e/"""	
			"ɑ"				
			"ɹ"		"[ɹ̥]"	"""between a voiceless consonant and a vowel"""	
							
							
"jun"	"Juang"		"p"				"jun_matson1964.pdf"
			"b"		"[p]"	"Medially before a voiceless stop; Before a pause"	
			"m"				
			"d̪"		"[t̪]"	"Medially before a voiceless stop; Before a pause"	
			"t̪"				
			"ɾ"		"[ɽ]"	"Before or following /ʈ, ɖ/"	
			"n"		"[n̪]"	"Before /t̪, d̪/"	
			"l"		"[ʎ]"	"Following /i/ or any palatal consonant"	
			"s"		"[ç]"	"Following /i/"	
			"ʈ"				
			"ɖ"		"[ɽ]"	"Intervocalically"	
			"ɳ"		"[ɽ̃]"	"Intervocalically"	
			"ɭ"		"[ɭ]"	"Before or following /ʈ, ɖ/"	
			"cç"	"Voiceless lamino-palatal affricate"	"[c]"	"Before a stop"	
			"ɟʝ"	"Voiced lamino-palatal affricate"	"[ɟ]"	"Medially before a voiced stop"	
					"[cç]"	"Medially before a voiceless stop; Before a pause"	
			"ɲ"				
			"k"				
			"ɡ"		"[k]"	"Medially before a voiceless stop; Before a pause"	
			"ŋ"				
			"i"		"[ĩ]"	"Before or following a nasal"	
					"[j]"	"Between a /k/ and a vowel other than /i/ and between two vowels which are not /i/"	
			"iː"				
			"u"		"[ũ]"	"Before or following a nasal"	
					"[w]"	"Between a /k/ and a vowel other than /u/, word-initially before a /a/, and between a stop and another vowel other than /u/ at a syllable boundary"	
			"uː"				
			"ɛ"		"[ɛ̃]"	"Before or following a nasal"	
			"ɛː"				
			"ɔ"		"[ɔ̃]"	"Before or following a nasal"	
			"ɔː"				
			"æ"		"[æ̃]"	"Before or following a nasal"	
			"æː"				
							
							
"adn"	"Adang"		"i"		"[iː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	"adn_haan2001.pdf"
			"u"		"[uː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"e"		"[e̞]"	"""In the final position of a word"""	
					"[eː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"o"		"[oː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"ɛ"		"[ɛː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"ɔ"		"[ɔː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"a"	"low central vowel"	"[aː]"	"""Vowels occuring in initial position of a monosyllabic word tend to be lengthened""; However, ""vowel length is phonetically [lexically] significant"""	
			"iː"				
			"uː"				
			"oː"				
			"ɔː"				
			"aː"				
			"ai"				
			"aɛ"				
			"ɔi"				
			"ɔu"				
			"eu"				
			"ɛi"				
			"iu"				
			"oi"				
			"ui"				
			"ou"				
			"p"				
			"b"				
			"m"				
			"f"		"[v]"	"""when followed and preceded by [ɔ]"" ; restricted to inflected forms of mother"	
			"t"				
			"d"				
			"n"				
			"r"				
			"s"				
			"l"				
			"c"			"only word finally"	
			"ɟ"			"only word finally"	
			"ɲ"				
			"k"				
			"ɡ"				
			"ŋ"			"only word finally"	
			"ʔ"				
			"h"				
							
							
"ael"	"Ambele"		"p"				"ael_nganganu2001.pdf"
			"t"				
			"k"				
			"kp"				
			"b"		"[ɓ]"	"""In free variation"""	
			"d"				
			"ɡ"				
			"ɡb"				
			"n"		"[m]"	"""a nasal becomes a labial nasal [m] before the labial stops [p], [b], [kp]"	
					"[ŋ]"	"a nasal ""becomes a velar nasal [ŋ] before [k] and [g]"""	
			"m"		"[n]"	"""a nasal becomes an alveolar nasal [n] whenever it precedes an alveolar consonant"" ; before /t, d, tʃ, dʒ, s/"	
					"[ŋ]"	"a nasal ""becomes a velar nasal [ŋ] before [k] and [g]"""	
			"nt"				
			"ŋk"				
			"mb"				
			"nd"				
			"ŋɡ"				
			"ŋmɡb"	"updated from ŋɡb"			
			"mb"				
			"ɲ"		"[n]"	"""a nasal becomes an alveolar nasal [n] whenever it precedes an alveolar consonant"" ; before /t, d, tʃ, dʒ, s/"	
					"[ŋ]"	"a nasal ""becomes a velar nasal [ŋ] before [k] and [g]"""	
					"[m]"	"""a nasal becomes a labial nasal [m] before the labial stops [p], [b], [kp]"	
			"ŋ"		"[n]"	"""a nasal becomes an alveolar nasal [n] whenever it precedes an alveolar consonant"" ; before /t, d, tʃ, dʒ, s/"	
					"[m]"	"""a nasal becomes a labial nasal [m] before the labial stops [p], [b], [kp]"	
			"t̠ʃ"				
			"d̠ʒ"				
			"n̠t̠ʃ"				
			"f"				
			"s"				
			"h"				
			"ɣ"				
			"l"				
			"w"				
			"j"				
			"sʷ"				
			"bʲ"				
			"mʷ"				
			"tʷ"				
			"sʲ"				
			"d̠ʒʷ"				
			"kʷ"				
			"ɡʲ"				
			"kpʷ"				
			"t̠ʃʲ"				
			"i"			"""a high vowel changes to a glide before another vowel"""	
			"e"				
			"ɛ"				
			"ɨ"				
			"ə"				
			"a"			"central low vowel"	
			"u"		"[w]"	"""a high vowel changes to a glide before another vowel"""	
			"ʉ"				
			"o"				
			"ɔ"				
			"˦"				
			"˧"				
			"˨"				
							
							
"apu"	"Apurinã"	"Japiim"	"i"		"[ĩ]"	"in free variation before a nasal consonant; ""Vowels become nasalized when preceding nasal vowels"""	"apu_facundes2000.pdf"
					"[i̥]"	"""In unstressed word final position"""	
					"[ɨ]"	"in [free] variation when following [ɾ] in unstressed word final environments"	
			"iː"				
			"ĩ"		"[i]"	"in free variation before a nasal consonant"	
			"ĩː"				
			"ɨ"		"[ɨ̃]"	"in free variation before a nasal consonant; ""Vowels become nasalized when preceding nasal vowels"""	
					"[ɨ̥]"	"""In unstressed word final position"""	
					"[i]"	"""When preceding any palatal or palatalized consonant""; ""in [free] variation when following [ɾ] in unstressed word final environments"""	
			"ɨː"				
			"ɨ̃"		"[ɨ]"	"in free variation before a nasal consonant"	
			"ɨ̃ː"				
			"e"		"[ɛ]"	"""Whenever the vowel of the following syllable is oral, back and non-high"""	
					"[ẽ]"	"in free variation before a nasal consonant; ""Vowels become nasalized when preceding nasal vowels"""	
					"[e̥]"	"""In unstressed word final position"""	
			"eː"				
			"ẽ"		"[e]"	"in free variation before a nasal consonant"	
			"ẽː"				
			"o"		"[u]"	"Free variation"	
					"[ʊ]"	"Free variation"	
					"[õ]"	"in free variation before a nasal consonant; ""Vowels become nasalized when preceding nasal vowels"""	
					"[o̥]"	"""In unstressed word final position"""	
			"oː"				
			"õ"		"[o]"	"in free variation before a nasal consonant"	
			"õː"				
			"a"		"[ã]"	"in free variation before a nasal consonant; ""Vowels become nasalized when preceding nasal vowels"""	
					"[ḁ]"	"""In unstressed word final position"""	
			"aː"				
			"ã"		"[a]"	"in free variation before a nasal consonant"	
			"ãː"				
			"p"		"[b]"	"Free variation after nasal vowels"	
					"[pʰ]"	"""In unstressed word final syllables when preceding devoiced vowels"""	
			"m"				
			"t"		"[d]"	"Free variation after nasal vowels"	
					"[t̻]"	"Free variation before /a/"	
					"[tʰ]"	"""In unstressed word final syllables when preceding devoiced vowels"""	
			"n"		"[ɲ]"	"""Before /i/"""	
			"ɾ"				
			"s"				
			"ts"				
			"ʃ"				
			"t̠ʃ"				
			"ɲ"				
			"j"				
			"k"		"[ɡ]"	"Free variation after nasal vowels"	
					"[kʲ]"	"""When preceding [ɛ]"""	
					"[kʰ]"	"""In unstressed word final syllables when preceding devoiced vowels"""	
			"ɰ"				
			"h"				
			"ai"				
			"ei"				
			"oi"				
			"ao"				
			"eo"				
			"io"				
							
							
"ace"	"Acehnese"		"p"				"ace_asyik1987.pdf"
			"t"				
			"c"	"alveo-palatal"			
			"k"				
			"ʔ"				
			"b"				
			"d"				
			"ɟ"				
			"ɡ"				
			"<f>"	"loanwords"			
			"s"				
			"ʃ"				
			"h"				
			"m"	"""mb"" has series of ""funny"" nasals, but does not describe them in depth for accurate representation"			
			"n"	"""nd"" has series of ""funny"" nasals, but does not describe them in depth for accurate representation"			
			"ɲ"	"""ɲj"" has series of ""funny"" nasals, but does not describe them in depth for accurate representation"			
			"ŋ"	"""ŋg"" has series of ""funny"" nasals, but does not describe them in depth for accurate representation"			
			"l"				
			"r"	"not a perfect trill as in Spanish"			
			"w"				
			"j"				
			"i"		"[ĩ]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ɯ"		"[ɯ̃]"	"""all vowels following an ordinary nasal become nasalized"""	
			"u"		"[ũ]"	"""all vowels following an ordinary nasal become nasalized"""	
			"e"		"[ẽ]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ə"		"[ə̃]"	"""all vowels following an ordinary nasal become nasalized"""	
			"o"		"[õ]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ɛ"		"[ɛ̃]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ʌ"		"[ʌ̃]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ɔ"		"[ɔ̃]"	"""all vowels following an ordinary nasal become nasalized"""	
			"a"		"[ã]"	"""all vowels following an ordinary nasal become nasalized"""	
			"ĩ"				
			"ʌ̃"				
			"ũ"				
			"ɯ̃"				
			"ɛ̃"				
			"ɔ̃"				
			"ã"				
			"iə"				
			"ɯə"				
			"uə"				
			"ɛə"				
			"ʌə"				
			"ɔə"				
			"ĩə"				
			"ɯ̃ə"				
			"ũə"				
			"ɛ̃ə"				
			"əi"				
			"ui"				
			"ʌi"				
			"oi"				
			"ai"				
			"ãi"				
			"ɔi"				
							
							
"aig"	"Antiguan Creole"		"p"				"aig_farquhar1974.pdf"
			"b"		"[v]"	"""Unconditioned variation"	
			"m"				
			"f"				
			"v"		"[b]"	"""Unconditioned variation"	
			"t"				
			"d"				
			"s"				
			"z"				
			"n"				
			"l"				
			"r"				
			"c"				
			"ɟ"				
			"t̠ʃ"		"[tr]"	"""Unconditioned variation"""	
			"d̠ʒ"		"[dr]"	"""Unconditioned variation"""	
			"ʃ"				
			"ʒ"		"[d̠ʒ]"	"""Unconditioned variation"""	
			"k"				
			"ɡ"				
			"h"				
			"ŋ"				
			"i"		"[ĩ]"	"""Optional nasalization of all monophthongs…occurs when the vowel precedes a nasal consonant."""	
			"iː"				
			"u"		"[ũ]"	"""Optional nasalization of all monophthongs…occurs when the vowel precedes a nasal consonant."""	
			"uː"				
			"e"		"[ẽ]"	"""Optional nasalization of all monophthongs…occurs when the vowel precedes a nasal consonant."""	
			"ə"				
			"o"		"[õ]"	"""Optional nasalization of all monophthongs…occurs when the vowel precedes a nasal consonant."""	
			"a"		"[ã]"	"""Optional nasalization of all monophthongs…occurs when the vowel precedes a nasal consonant."""	
			"aː"				
			"j"		"[j̃]"	"""In a word-initial syllable.  Nasalization is apparently conditioned by the presence in the same syllable of a nasal consonant"""	
			"w"				
			"ai"				
			"ia"				
			"ou"				
			"ua"				
							
							
"akl"	"Aklan"		"p"				"akl_chai1971.pdf"
			"b"				
			"m"				
			"w"				
			"t"	"apico-alveolar"			
			"d"	"apico-alveolar"	"[r]"	"""in intervocalic position"" (pg 34);  morphologically conditioned as examples are given on page 10 for the occurrence of [d] intervocalically"	
			"s"	"apico-alveolar"			
			"n"	"apico-alveolar"			
			"l"	"apico-alveolar"			
			"r"	"apico-alveolar; ""flaps downward with a gental trill"""	"[d]"	"""In free variation"" (pg 14); ""when it precedes a consonant"" (pg 34); latter environment morphologically conditioned"	
					"[r]"	"apico-alveolar; ""flaps downward with a gental trill"""	
			"j"				
			"k"				
			"ɡ"				
			"ɣ"		"[r]"	"""intervocalic position"" (pg 35);  morphologically conditioned as there are examples of [ɣ] occurring intervocalically on page 12"	
			"ŋ"		"[m]"	"Before [p] and [b]"	
					"[n]"	"Before [t], [d], [s]"	
			"ʔ"				
			"h"				
			"i"		"[j]"	"""In certain cases of suffixation"""	
			"u"		"[w]"	"""In certain final open syllables"""	
			"a"	"central low"			
							
							
"arh"	"Ika"		"p"				"arh_frank1985.pdf"
			"b"				
			"β"				
			"m"				
			"t"				
			"d"				
			"s"				
			"z"				
			"ɾ"		"[d]"	"""Following a nasal"""	
			"n"		"[m]"	"""Before labials"""	
					"[ɾ]"	"""When followed by a front vowel across a morpheme boundary"""	
			"t̠ʃ"				
			"d̠ʒ"				
			"k"		"[s]"	"""When followed by a front vowel across a morpheme boundary"""	
					"[ʔ]"	"""Morpheme final k becomes glottal stop before a consonant"""	
			"ɡ"				
			"ʔ"				
			"h"				
			"i"		"[e]"	"""When preceding a glottal stop across a morpheme boundary"""	
			"e"		"[i]"	"""In closed syllables"""	
			"ə"		"[ɨ]"	"""At the end of a word"""	
					"[a]"	"""When preceding a glottal stop across a morpheme boundary"""	
			"ɨ"				
			"u"				
			"o"		"[u]"	"""In closed syllables"""	
			"a"	"central low"	"[ə]"	"""In closed syllables"""	
			"ua"				
			"uɨ"				
			"ui"				
			"ue"				
			"uə"				
			"ia"				
			"iɨ"				
			"ei"				
			"ou"				
							
							
"arr"	"Karo"		"p"		"[pː]"	"""Long segments … occur as the onsets of stressed syllables""; possibly means aspirated"	"arr_gabas1999.pdf"
					"[p̚]"	"""Occur as word-final codas"""	
			"b"		"[β]"	"""In free variation in onsets of unstressed syllables after vowels"""	
			"m"	"Post-denasalized ->"	"[mb]"	"""Post-denasalized segments…occur on stressed syllable onsets before oral vowels"""	
				"Predenasalized ->"	"[bm]"	"""Pre-denasalized segments…occur on word-final codas of stressed syllables after an oral vowel"""	
			"w"		"[w̃]"	"""Occur adjacent to nasal vowels"""	
			"t"		"[tː]"	"""Long segments … occur as the onsets of stressed syllables""; possibly means aspirated"	
					"[t̚]"	"""Occur as word-final codas"""	
			"ɾ"		"[ɾ̃]"	"""Between nasal vowels in unstressed syllables preceded by stressed syllables"""	
			"n"	"Post-denasalized ->"	"[nd]"	"""Post-denasalized segments…occur on stressed syllable onsets before oral vowels"""	
				"Predenasalized ->"	"[dn]"	"""Pre-denasalized segments…occur on word-final codas of stressed syllables after an oral vowel"""	
			"c"		"[ç]"	"""Free variation"""	
					"[cː]"	"""Long segments … occur as the onsets of stressed syllables""; possibly means aspirated"	
					"[c̚]"	"""Occur as word-final codas"""	
			"j"		"[j̃]"	"""Occur adjacent to nasal vowels"""	
			"k"		"[kː]"	"""Long segments … occur as the onsets of stressed syllables""; possibly means aspirated"	
					"[k̚]"	"""Occur as word-final codas"""	
			"ɡ"		"[ɣ]"	"""In free variation in onsets of unstressed syllables after vowels"""	
			"ŋ"	"Post-denasalized ->"	"[ŋɡ]"	"""Post-denasalized segments…occur on stressed syllable onsets before oral vowels"""	
				"Predenasalized ->"	"[ɡŋ]"	"""Pre-denasalized segments…occur on word-final codas of stressed syllables after an oral vowel"""	
			"ʔ"				
			"h"				
			"i"				
			"ĩ"				
			"ɨ"				
			"u"				
			"e"		"[ɛ]"	"""In unstressed syllables and in low-tone stressed syllables"""	
					"[e]"	"""occurs in high-tone syllables"""	
			"ẽ"				
			"ə"				
			"o"		"[ɔ]"	"""In low-tone stressed syllables"""	
					"[o]"	"""occurs in high-tone syllables and unstressed syllables"""	
			"õ"				
			"a"				
			"ã"				
			"˦"				
			"˨"		"[˧]"	"""In stressed syllables"""	
							
							
"ayl"	"Lebanese Arabic"		"b"				"ayl_elfitoury1976.pdf"
			"m"		"[ɱ]"	"""Before /f/"""	
			"mˠ"		"[ɱˠ]"	"""Before /f/"""	
			"w"				
			"f"				
			"<v>"	"Loan"			
			"ð"		"[ð]"	"""used in scattered rural areas of the east and west, but may be heard in the speech of people from those areas migrating to the city of Tripoli"""	
					"[d]"	"""People consistently use /d/ instead of /ð/"""	
			"ðˠ"			"""used in scattered rural areas of the east and west, but may be heard in the speech of people from those areas migrating to the city of Tripoli"""	
			"θ"		"[θ]"	"""used in scattered rural areas of the east and west, but may be heard in the speech of people from those areas migrating to the city of Tripoli"""	
					"[t]"	"""consistently replaced by the dental stop /t/"""	
			"t̪"		"[tˠ]"	'"before a velarized consonant; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
					"[d̪]"	'"voiceless sounds become voiced before a voiced sound; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
					"[s̪]"	"before /s/"	
					"[ʒ]"	"before /ʒ/"	
			"d̪"		"[dˠ]"	'"before a velarized consonant; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
					"[t̪]"	'"voiced sounds become voiceless before a voiceless sound; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
			"s̪"		"[sˠ]"	'"before a velarized consonant; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
			"z̪"				
			"n̪"		"[m]"	'"before labial consonants; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
					"[ɾ]"	"before /ɾ/"	
					"[l]"	"before /l/"	
			"l̪"		"[l̪̥]"	"""Before voiceless obstruents"""	
					"[n]"	"before /n/"	
			"l̪ˠ"				
			"ɾ̪"		"[r]"	"""when doubled or in final position it becomes a trill"""	
			"ɾ̪ˠ"		"[r]"	"when doubled""; does not state whether the allophone is velarized"	
			"tˠ"				
			"dˠ"				
			"sˠ"				
			"zˠ"				
			"ʃ"				
			"ʒ"				
			"j"				
			"k"		"[ɡ]"	'"voiceless sounds become voiced before a voiced sound; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
			"ɡ"		"[k]"	'"voiced sounds become voiceless before a voiceless sound; possibly more widespread than those listed in text; ""For more details and elaboration see Ester Panetta''s ''L'' Arabo Parlato a Bengasi,'' Vol. II, Bengasi, 1943."'	
			"q"				
			"χ"	"author uses IPA symbols associated with velar fricatives, but describes these sounds as uvular"		"author states the voiceless uvular fricative becomes more forward before front vowels and more back before back vowels, but does not specify specific allophones"	
			"ʁ"	"author uses IPA symbols associated with velar fricatives, but describes these sounds as uvular"		"author states the voiced uvular fricative becomes more forward before front vowels and more back before back vowels, but does not specify specific allophones"	
			"ħ"				
			"ʕ"				
			"ʔ"				
			"h"				
			"i"				
			"u"				
			"ɪ"				
			"ʊ"				
			"e"				
			"o"				
			"æ"	"low front central vowel"	"[ɛ]"	"""In the environment of an unstressed closed syllable"""	
			"a"	"low central"	"[æ]"	"""In the environment of no velarized consonants"""	
			"ɪi"	"changed from ɪy"			
			"ai"	"changed from ay"			
			"ui"	"changed from uy"			
			"æi"	"changed from æy"			
			"eu"	"changed from ew; occurs mainly in diminutive forms"			
			"au"	"changed from aw"			
			"æu"	"changed from æw"			
			"ʊu"	"changed from ʊw; least common diphthong"			
							
							
"bbc"	"Toba-Batak"		"p"		"[p̚]"	"""Occurs finally and medially before a stop"""	"bbc_percival1964.pdf"
					"[pʰ]"	"""Occurs finally"""	
			"t"	"apical"	"[t̚]"	"""Occurs finally"""	
				"apical"	"[tʰ]"	"""Occurs finally"""	
			"k"		"[k̚]"	"""Occurs finally and medially before stops and [s]"""	
					"[kʰ]"	"""Occurs finally"""	
			"b"				
			"d"				
			"ɡ"				
			"ʔ"		"[ʔ̚]"	"""Occurs medially before stops and spirants and finally"""	
					"[ʔⁿ]"	"""Occurs medially before [m n ŋ]"""	
			"t̠ʃ"				
			"d̠ʒ"				
			"s"				
			"h"				
			"m"				
			"n"				
			"ŋ"				
			"l"		"[l̥]"	"""Occurs finally"""	
			"r"		"[ɾ]"	"Free variation"	
					"[r̥]"	"""Occurs finally"""	
					"[ɾ̥]"	"""Occurs finally""; in free variation with [r̥]"	
			"j"				
			"w"				
			"i"		"[iː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"e"		"[eː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"ɛ"		"[ɛː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"æ"		"[æː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"a"		"[aː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"ɔ"		"[ɔː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"o"		"[oː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"u"		"[uː]"	"""Occurs finally or under primary or secondary stress and is followed by another vowel with or without an intervening consonant or semi-vowel"""	
			"ə"				
							
							
"bci"	"Baule"	"Kobe"	"p"				"bci_timyan1977.pdf"
			"b"				
			"f"		"[v]"	"""Following the homorganic nasal"""	
			"t"				
			"d"				
			"s"		"[z]"	"""Following the homorganic nasal"""	
			"l"		"[l̃]"	"""following /b, p. m, f, k, g, kp, gb, and w/ preceding a nasal vowel"""	
					"[n]"	"""word initially preceding nasal vowels and nasalized glides""; ""following /N/"	
					"[ɾ]"	"""Following /t, d, s, c, ɟ and j/ preceding oral vowels"""	
					"[ɾ̃]"	"""Following /t, d, s, c, ɟ and j/ preceding nasal vowels"""	
			"c"				
			"ɟ"				
			"j"		"[j̃]"	"""as C2 of a C1C2V syllable preceding a nasal vowel"""	
